"nomeempreendedor","niveldeemergencia"
"COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA","Sem emergência"
"COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA","Emergência Nivel 1"
"COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA","Sem emergência"
"COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA","Sem emergência"
"MSM Mineração Serra da Moeda Ltda.","Sem emergência"
"MSM Mineração Serra da Moeda Ltda.","Sem emergência"
"MSM Mineração Serra da Moeda Ltda.","Sem emergência"
"MSM Mineração Serra da Moeda Ltda.","Sem emergência"
"MSM Mineração Serra da Moeda Ltda.","Sem emergência"
"MSM Mineração Serra da Moeda Ltda.","Sem emergência"
"MSM Mineração Serra da Moeda Ltda.","Sem emergência"
"MSM Mineração Serra da Moeda Ltda.","Sem emergência"
"MINERACAO TABOCA S A","Sem emergência"
"MINERACAO TABOCA S A","Sem emergência"
"MINERACAO TABOCA S A","Sem emergência"
"MINERACAO TABOCA S A","Sem emergência"
"MINERACAO TABOCA S A","Sem emergência"
"MINERACAO TABOCA S A","Sem emergência"
"MINERACAO TABOCA S A","Sem emergência"
"COMPANHIA MINERADORA DO PIROCLORO DE ARAXA","Sem emergência"
"EXTRACAO DE AREIA TABOAO LTDA","Sem emergência"
"EXTRACAO DE AREIA TABOAO LTDA","Sem emergência"
"MINERACAO GERAL DO BRASIL S/A","Sem emergência"
"CSN CIMENTOS BRASIL S.A. Filial: CSN CIMENTOS BRASIL S.A.","Emergência Nivel 1"
"MINERADORA PEDRIX LTDA","Sem emergência"
"ATLANTIC NICKEL MINERACAO LTDA","Sem emergência"
"XILOLITE S/A","Sem emergência"
"Mineração Pedra Menina Ltda","Sem emergência"
"Mineração Pedra Menina Ltda","Sem emergência"
"Mineração Pedra Menina Ltda","Sem emergência"
"CONCRESAND MINERACAO E TRANSPORTE LTDA","Sem emergência"
"MINERADORA PONTE ALTA LTDA","Sem emergência"
"MINERADORA PONTE ALTA LTDA","Emergência Nivel 2"
"Piteiras Mineração Ltda.","Sem emergência"
"MARCELO BOZETTI","Sem emergência"
"COMPANHIA BRASILEIRA DE BENTONITA LTDA","Sem emergência"
"MINERAIS & METAIS COMERCIO E INDUSTRIA LTDA Filial: MINERAIS & METAIS COMERCIO E INDUSTRIA LTDA","Sem emergência"
"EMPRESA DE MINERACAO ESPERANCA S A","Sem emergência"
"EMPRESA DE MINERACAO ESPERANCA S A","Sem emergência"
"EMPRESA DE MINERACAO ESPERANCA S A","Sem emergência"
"DISK-BASE EXT.DE AREIA E COM.DE MAT.P/CONST.LTDA","Sem emergência"
"Mineração Santa Luzia de Aguaí Ltda","Sem emergência"
"Mineração Santa Luzia de Aguaí Ltda","Sem emergência"
"Mineração Nova Petrópolis Ltda.","Sem emergência"
"MINERACOES GERAIS LTDA","Sem emergência"
"PLINIO ALMEIDA BOSON & CIA LTDA","Sem emergência"
"ROZEN MINERADORA, CONSULTORIA E ASSESSORIA EM GESTAO EMPRESARIAL LTDA","Sem emergência"
"ARCELORMITTAL BRASIL S.A.","Nível de Alerta"
"ARCELORMITTAL BRASIL S.A.","Sem emergência"
"Minerita Minérios Itaúna Ltda.","Sem emergência"
"Minerita Minérios Itaúna Ltda.","Sem emergência"
"Minerita Minérios Itaúna Ltda.","Sem emergência"
"Minerita Minérios Itaúna Ltda.","Sem emergência"
"Minerita Minérios Itaúna Ltda.","Sem emergência"
"Vantage Brasil Mineração Ltda.","Sem emergência"
"ANGELO CARLOS VICARI JUNIOR","Sem emergência"
"ANGELO CARLOS VICARI JUNIOR","Sem emergência"
"UILSON ROMANHA & CIA LTDA","Sem emergência"
"UILSON ROMANHA & CIA LTDA","Sem emergência"
"UILSON ROMANHA & CIA LTDA","Sem emergência"
"UILSON ROMANHA & CIA LTDA","Sem emergência"
"Marcelo Busnardo EPP","Sem emergência"
"SALINAS GOLD MINERACAO LTDA","Sem emergência"
"MINERACAO COMISA LTDA","Sem emergência"
"Mineração Vila Nova Ltda","Sem emergência"
"Mineração Vila Nova Ltda","Sem emergência"
"MONTE SINAI MINERACAO LTDA","Sem emergência"
"ORO AMAPA MINERACAO","Sem emergência"
"GERDAU ACOMINAS S/A","Sem emergência"
"GERDAU ACOMINAS S/A","Sem emergência"
"WHITE SOLDER METALURGIA E MINERACAO LTDA Filial: WHITE SOLDER METALURGIA E MINERACAO LTDA","Sem emergência"
"PEDREIRA SARGON LTDA","Sem emergência"
"NORTE SUL TERRAPLENAGEM E COMERCIO LTDA","Sem emergência"
"FARIAS & RODRIGUES LTDA","Sem emergência"
"ARCELORMITTAL BRASIL S.A.","Sem emergência"
"ARCELORMITTAL BRASIL S.A.","Sem emergência"
"ARCELORMITTAL BRASIL S.A.","Sem emergência"
"ARCELORMITTAL BRASIL S.A.","Sem emergência"
"ARCELORMITTAL BRASIL S.A.","Sem emergência"
"ARCELORMITTAL BRASIL S.A.","Sem emergência"
"PORTO COMERCIO DE AREIA LTDA","Sem emergência"
"MULLER & CIA LTDA","Sem emergência"
"MULLER & CIA LTDA","Sem emergência"
