"nomeempreendedor","niveldeemergencia"
"COOPERATIVA DE EXTRACAO MINERAL DE MATO GROSSO","Sem emergência"
"AVG EMPREENDIMENTOS MINERARIOS S.A.","Sem emergência"
"aparecido francisco da silva","Sem emergência"
"VETRIA MINERACAO S.A.","Nível de Alerta"
"MINERACAO DO VALE LTDA","Sem emergência"
"PM1 MINERACAO LTDA","Sem emergência"
"EMBU S A ENGENHARIA E COMERCIO","Sem emergência"
"EMICON MINERACAO E TERRAPLENAGEM LIMITADA","Sem emergência"
"EMICON MINERACAO E TERRAPLENAGEM LIMITADA","Sem emergência"
"EMICON MINERACAO E TERRAPLENAGEM LIMITADA","Sem emergência"
"EMICON MINERACAO E TERRAPLENAGEM LIMITADA","Sem emergência"
"DISK-BASE EXT.DE AREIA E COM.DE MAT.P/CONST.LTDA","Sem emergência"
"DISK-BASE EXT.DE AREIA E COM.DE MAT.P/CONST.LTDA","Sem emergência"
"INDUSTRIA E COMERCIO DE MINERIOS S/A - ICOMI","Sem emergência"
"INDUSTRIA E COMERCIO DE MINERIOS S/A - ICOMI","Sem emergência"
"INDUSTRIA E COMERCIO DE MINERIOS S/A - ICOMI","Sem emergência"
"INDUSTRIA E COMERCIO DE MINERIOS S/A - ICOMI","Sem emergência"
"INDUSTRIA E COMERCIO DE MINERIOS S/A - ICOMI","Sem emergência"
"INDUSTRIA E COMERCIO DE MINERIOS S/A - ICOMI","Sem emergência"
"RUBENS GIMENEZ RODRIGUES","Emergência Nivel 1"
"MAX JOEL RUSSI","Sem emergência"
"MINERACAO SANTA CRUZ LTDA","Sem emergência"
"COOPERATIVA MISTA DOS GARIMPEIROS DE PEIXOTO DE AZEVEDO","Nível de Alerta"
"Victor Augusto de Arruda Gimenez","Sem emergência"
"O MINERIO PARTICIPACOES LTDA","Sem emergência"
"T. N. MINERACOES LTDA","Sem emergência"
"EMPRESA DE MINERACAO HORII LTDA","Sem emergência"
"COMPANHIA MINERADORA DO PIROCLORO DE ARAXA","Sem emergência"
"MINERACAO GERAL DO BRASIL S/A","Sem emergência"
"MINERACAO GERAL DO BRASIL S/A","Sem emergência"
"MINERACAO DARCY R.O. E SILVA LTDA","Sem emergência"
"MINERACAO DARCY R.O. E SILVA LTDA","Sem emergência"
"VALE S.A.","Sem emergência"
"BAUMINAS MINERACAO LTDA","Sem emergência"
"ANGLO AMERICAN MINERIO DE FERRO BRASIL S/A","Sem emergência"
"BAUMINAS MINERACAO LTDA","Sem emergência"
"ANGLO AMERICAN MINERIO DE FERRO BRASIL S/A","Sem emergência"
"ANGLO AMERICAN MINERIO DE FERRO BRASIL S/A","Sem emergência"
"ANGLO AMERICAN MINERIO DE FERRO BRASIL S/A","Sem emergência"
"ANGLO AMERICAN MINERIO DE FERRO BRASIL S/A","Sem emergência"
"ANGLO AMERICAN MINERIO DE FERRO BRASIL S/A","Sem emergência"
"CMOC BRASIL MINERACAO, INDUSTRIA E PARTICIPACOES LTDA.","Sem emergência"
"CMOC BRASIL MINERACAO, INDUSTRIA E PARTICIPACOES LTDA.","Sem emergência"
"CMOC BRASIL MINERACAO, INDUSTRIA E PARTICIPACOES LTDA.","Sem emergência"
"CMOC BRASIL MINERACAO, INDUSTRIA E PARTICIPACOES LTDA.","Sem emergência"
"CMOC BRASIL MINERACAO, INDUSTRIA E PARTICIPACOES LTDA.","Sem emergência"
"MINERACAO TABOCA S A","Sem emergência"
"MINERACAO TABOCA S A","Sem emergência"
"MINERACAO TABOCA S A","Sem emergência"
"MINERACAO TABOCA S A","Nível de Alerta"
"MINERACAO TABOCA S A","Emergência Nivel 1"
"MINERACAO TABOCA S A","Sem emergência"
"MINERACAO TABOCA S A","Emergência Nivel 1"
"MINERACAO TABOCA S A","Sem emergência"
"MINERACAO RIACHO DOS MACHADOS LTDA.","Sem emergência"
"Alcoa World Alumina Brasil Ltda.","Emergência Nivel 1"
"Alcoa World Alumina Brasil Ltda.","Sem emergência"
"Alcoa World Alumina Brasil Ltda.","Sem emergência"
"Alcoa World Alumina Brasil Ltda.","Sem emergência"
"Alcoa World Alumina Brasil Ltda.","Sem emergência"
"Alcoa World Alumina Brasil Ltda.","Sem emergência"
"Alcoa World Alumina Brasil Ltda.","Sem emergência"
"HERCULANO MINERACAO LTDA","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"Minerita Minérios Itaúna Ltda.","Sem emergência"
"Minerita Minérios Itaúna Ltda.","Nível de Alerta"
"MINERACAO TABIPORA LTDA","Sem emergência"
"SALOBO METAIS S/A","Sem emergência"
"SALOBO METAIS S/A","Emergência Nivel 1"
"SALOBO METAIS S/A","Sem emergência"
"SALOBO METAIS S/A","Sem emergência"
"SALOBO METAIS S/A","Sem emergência"
"M B L MATERIAIS BASICOS LTDA","Sem emergência"
"EXTRACAO DE MINERIO BEARIZ LTDA","Sem emergência"
"INDUSTRIAS NUCLEARES DO BRASIL S.A - INB","Sem emergência"
"INDUSTRIAS NUCLEARES DO BRASIL S.A - INB","Sem emergência"
"CSN CIMENTOS S.A.","Sem emergência"
"CSN CIMENTOS S.A.","Sem emergência"
"ARCELORMITTAL BRASIL S.A.","Sem emergência"
"EMBU S A ENGENHARIA E COMERCIO","Sem emergência"
"EMBU S A ENGENHARIA E COMERCIO","Sem emergência"
"SANTA LUZ DESENVOLVIMENTO MINERAL LTDA","Sem emergência"
"SANTA LUZ DESENVOLVIMENTO MINERAL LTDA","Sem emergência"
"MINERACAO AURIZONA S/A","Sem emergência"
"MINERACAO AURIZONA S/A","Sem emergência"
"FAZENDA BRASILEIRO DESENVOLVIMENTO MINERAL LTDA","Sem emergência"
"FAZENDA BRASILEIRO DESENVOLVIMENTO MINERAL LTDA","Sem emergência"
"FAZENDA BRASILEIRO DESENVOLVIMENTO MINERAL LTDA","Sem emergência"
"SERABI MINERACAO S.A.","Sem emergência"
"SERABI MINERACAO S.A.","Sem emergência"
"GERDAU ACOMINAS S/A","Sem emergência"
"SALITRE FERTILIZANTES LTDA.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"AURA ALMAS MINERACAO S/A","Sem emergência"
"Valdinei Mauro de Souza","Sem emergência"
"SALINAS GOLD MINERACAO LTDA","Sem emergência"
"SALINAS GOLD MINERACAO LTDA","Sem emergência"
"SALINAS GOLD MINERACAO LTDA","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"PATOS DE MINAS FOSFATADOS LTDA","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"SALOBO METAIS S/A","Sem emergência"
"ALAIN STEPHANE RIVIERE MINERACAO","Sem emergência"
"VETRIA MINERACAO S.A.","Sem emergência"
"ALAIN STEPHANE RIVIERE MINERACAO","Sem emergência"
"VETRIA MINERACAO S.A.","Sem emergência"
"EVANDRO DE SOUZA","Sem emergência"
"A R WEBER","Sem emergência"
"GONCALO PEDROSO DE BARROS","Sem emergência"
"JONAS GIMENEZ RODRIGUES","Sem emergência"
"Roberto Nunes Rondon","Sem emergência"
"SIDNEI RAFAEL DE SOUZA","Sem emergência"
"MINERACAO USIMINAS S.A.","Sem emergência"
"MAX JOEL RUSSI","Sem emergência"
"MINERACAO USIMINAS S.A.","Sem emergência"
"R G R FILHO MINERACAO","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"RENALDO RUDI SCHORK","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"ROSEMEIRE BENEDETTI ALVES","Sem emergência"
"ROSEMEIRE BENEDETTI ALVES","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"Valdinei Mauro de Souza","Sem emergência"
"Valdinei Mauro de Souza","Sem emergência"
"VALE S.A.","Sem emergência"
"Valdinei Mauro de Souza","Sem emergência"
"VALE S.A.","Sem emergência"
"Valdinei Mauro de Souza","Sem emergência"
"Valdinei Mauro de Souza","Sem emergência"
"VALE S.A.","Sem emergência"
"Valdinei Mauro de Souza","Sem emergência"
"JACOBINA MINERACAO E COMERCIO LTDA","Sem emergência"
"JACOBINA MINERACAO E COMERCIO LTDA","Sem emergência"
"VALE S.A.","Emergência Nivel 1"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Nível de Alerta"
"Valdinei Mauro de Souza","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Nível de Alerta"
"VALE S.A.","Emergência Nivel 1"
"VALE S.A.","Nível de Alerta"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"Topazio Imperial Mineração Comercio e Industria Ltda","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"MARCELO BOZETTI","Sem emergência"
"MINERACAO MARACA INDUSTRIA E COMERCIO S/A","Sem emergência"
"SANDER LIMA DE FRANCA","Sem emergência"
"FREDERICO AUGUSTO DE ARRUDA GIMENEZ MINERACAO","Nível de Alerta"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"ELISA MACIEL SANTOS RIVA","Sem emergência"
"M. M. GOLD MINERACAO LTDA","Sem emergência"
"M. M. GOLD MINERACAO LTDA","Sem emergência"
"M. M. GOLD MINERACAO LTDA","Sem emergência"
"AVB MINERACAO LTDA.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"SAMARCO MINERACAO S.A. EM RECUPERACAO JUDICIAL","Sem emergência"
"SAMARCO MINERACAO S.A. EM RECUPERACAO JUDICIAL","Sem emergência"
"SAMARCO MINERACAO S.A. EM RECUPERACAO JUDICIAL","Sem emergência"
"SAMARCO MINERACAO S.A. EM RECUPERACAO JUDICIAL","Sem emergência"
"SAMARCO MINERACAO S.A. EM RECUPERACAO JUDICIAL","Sem emergência"
"SAMARCO MINERACAO S.A. EM RECUPERACAO JUDICIAL","Sem emergência"
"CASA DE PEDRA LTDA","Sem emergência"
"Marcio Nascimento","Sem emergência"
"SAMARCO MINERACAO S.A. EM RECUPERACAO JUDICIAL","Sem emergência"
"VM MINERACAO LTDA","Sem emergência"
"VM MINERACAO LTDA","Sem emergência"
"GRANHA LIGAS LTDA","Sem emergência"
"PROMETALICA MINERACAO LTDA","Sem emergência"
"ATLANTIC NICKEL MINERACAO LTDA","Emergência Nivel 1"
"Euler Oliveira Coelho","Sem emergência"
"MINERACAO APOENA S.A.","Sem emergência"
"MINERACAO APOENA S.A.","Sem emergência"
"MINERACAO APOENA S.A.","Sem emergência"
"MINERACAO APOENA S.A.","Sem emergência"
"SAMARCO MINERACAO S.A. EM RECUPERACAO JUDICIAL","Sem emergência"
"SAMARCO MINERACAO S.A. EM RECUPERACAO JUDICIAL","Sem emergência"
"CASCAR BRASIL MINERACAO LTDA","Sem emergência"
"CIA DE FERRO LIGAS DA BAHIA FERBASA","Sem emergência"
"CIA DE FERRO LIGAS DA BAHIA FERBASA","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"CARBONIFERA METROPOLITANA S/A","Sem emergência"
"VALE S.A.","Sem emergência"
"CARBONIFERA METROPOLITANA S/A","Sem emergência"
"VALE S.A.","Sem emergência"
"CARBONIFERA METROPOLITANA S/A","Sem emergência"
"VALE S.A.","Sem emergência"
"CARBONIFERA METROPOLITANA S/A","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VERMELHAO MINERACAO INDUSTRIA E COMERCIO LTDA","Emergência Nivel 1"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"Geocal Mineração Ltda","Sem emergência"
"MOSAIC FERTILIZANTES P&K LTDA.","Sem emergência"
"MOSAIC FERTILIZANTES P&K LTDA.","Sem emergência"
"MOSAIC FERTILIZANTES P&K LTDA.","Sem emergência"
"MOSAIC FERTILIZANTES P&K LTDA.","Sem emergência"
"MOSAIC FERTILIZANTES P&K LTDA.","Sem emergência"
"COMPANHIA BRASILEIRA DE ALUMINIO","Sem emergência"
"COMPANHIA BRASILEIRA DE ALUMINIO","Sem emergência"
"Carbonífera Belluno Ltda.","Emergência Nivel 1"
"Carbonífera Belluno Ltda.","Sem emergência"
"MINERACAO SERRAS DO OESTE LIMITADA","Sem emergência"
"MINERACAO SERRAS DO OESTE LIMITADA","Sem emergência"
"Carbonífera Belluno Ltda.","Emergência Nivel 1"
"MOSAIC FERTILIZANTES P&K LTDA.","Sem emergência"
"MINERACAO NOSSA SENHORA DO CARMO LTDA","Sem emergência"
"MOSAIC FERTILIZANTES P&K LTDA.","Sem emergência"
"MINERACAO NOSSA SENHORA DO CARMO LTDA","Sem emergência"
"MOSAIC FERTILIZANTES P&K LTDA.","Sem emergência"
"MOSAIC FERTILIZANTES P&K LTDA.","Sem emergência"
"MOSAIC FERTILIZANTES P&K LTDA.","Sem emergência"
"MOSAIC FERTILIZANTES P&K LTDA.","Sem emergência"
"MOSAIC FERTILIZANTES P&K LTDA.","Sem emergência"
"MOSAIC FERTILIZANTES P&K LTDA.","Sem emergência"
"MOSAIC FERTILIZANTES P&K LTDA.","Emergência Nivel 1"
"MOSAIC FERTILIZANTES P&K LTDA.","Sem emergência"
"MOSAIC FERTILIZANTES P&K LTDA.","Sem emergência"
"MOSAIC FERTILIZANTES P&K LTDA.","Sem emergência"
"MOSAIC FERTILIZANTES P&K LTDA.","Sem emergência"
"MOSAIC FERTILIZANTES P&K LTDA.","Sem emergência"
"MOSAIC FERTILIZANTES P&K LTDA.","Sem emergência"
"MOSAIC FERTILIZANTES P&K LTDA.","Sem emergência"
"VALLOUREC TUBOS DO BRASIL LTDA.","Emergência Nivel 1"
"VALLOUREC TUBOS DO BRASIL LTDA.","Sem emergência"
"VALLOUREC TUBOS DO BRASIL LTDA.","Sem emergência"
"JOAO ROBERTO CARDOSO","Sem emergência"
"ITAMINAS COMERCIO DE MINERIOS SA","Sem emergência"
"LHG MINING CORUMBA S.A","Sem emergência"
"MINERACAO VALE VERDE DO BRASIL LTDA.","Sem emergência"
"KINROSS BRASIL MINERACAO S/A","Sem emergência"
"KINROSS BRASIL MINERACAO S/A","Sem emergência"
"KINROSS BRASIL MINERACAO S/A","Nível de Alerta"
"KINROSS BRASIL MINERACAO S/A","Sem emergência"
"KINROSS BRASIL MINERACAO S/A","Sem emergência"
"KINROSS BRASIL MINERACAO S/A","Sem emergência"
"SANTA FELICIDADE MINERACAO SPE LTDA","Sem emergência"
"VALE S.A.","Emergência Nivel 1"
"SANTA FELICIDADE MINERACAO SPE LTDA","Sem emergência"
"VALE S.A.","Sem emergência"
"SANTA FELICIDADE MINERACAO SPE LTDA","Sem emergência"
"VALE S.A.","Sem emergência"
"SANTA FELICIDADE MINERACAO SPE LTDA","Emergência Nivel 1"
"VALE S.A.","Sem emergência"
"Pollyana Moreira Dias","Sem emergência"
"ARTEMYN RIO CAPIM CAULIM LTDA.","Sem emergência"
"ARTEMYN RIO CAPIM CAULIM LTDA.","Sem emergência"
"ARTEMYN RIO CAPIM CAULIM LTDA.","Sem emergência"
"ARTEMYN RIO CAPIM CAULIM LTDA.","Sem emergência"
"ARTEMYN RIO CAPIM CAULIM LTDA.","Sem emergência"
"ARTEMYN RIO CAPIM CAULIM LTDA.","Sem emergência"
"ARTEMYN RIO CAPIM CAULIM LTDA.","Sem emergência"
"ARTEMYN RIO CAPIM CAULIM LTDA.","Sem emergência"
"ARTEMYN RIO CAPIM CAULIM LTDA.","Sem emergência"
"ARTEMYN RIO CAPIM CAULIM LTDA.","Sem emergência"
"PARA PIGMENTOS S A","Sem emergência"
"PARA PIGMENTOS S A","Sem emergência"
"PARA PIGMENTOS S A","Emergência Nivel 1"
"JOSE MARIA OTAVIO MARTINS DUARTE","Sem emergência"
"JOSE MARIA OTAVIO MARTINS DUARTE","Sem emergência"
"JOSE MARIA OTAVIO MARTINS DUARTE","Sem emergência"
"NAGELLA CHRISSIE BRAVO SERRA","Sem emergência"
"Humberto Covezzi","Emergência Nivel 2"
"Joaquim Aderaldo de Souza Neto","Sem emergência"
"BRAZAURO RECURSOS MINERAIS S.A.","Sem emergência"
"BRAZAURO RECURSOS MINERAIS S.A.","Sem emergência"
"VALDEMIR CARLOS DE SOUZA","Sem emergência"
"GERDAU ACOMINAS S/A","Emergência Nivel 2"
"ANGLOGOLD ASHANTI CORREGO DO SITIO MINERACAO S.A.","Sem emergência"
"GERDAU ACOMINAS S/A","Sem emergência"
"MINERACAO RIO DO NORTE SA","Sem emergência"
"MINERACAO RIO DO NORTE SA","Emergência Nivel 1"
"MINERACAO RIO DO NORTE SA","Sem emergência"
"MINERACAO RIO DO NORTE SA","Sem emergência"
"MINERACAO RIO DO NORTE SA","Sem emergência"
"MINERACAO RIO DO NORTE SA","Emergência Nivel 1"
"MINERACAO RIO DO NORTE SA","Sem emergência"
"MINERACAO RIO DO NORTE SA","Sem emergência"
"MINERACAO RIO DO NORTE SA","Sem emergência"
"MINERACAO RIO DO NORTE SA","Sem emergência"
"MINERACAO RIO DO NORTE SA","Emergência Nivel 1"
"MINERACAO RIO DO NORTE SA","Emergência Nivel 1"
"MINERACAO RIO DO NORTE SA","Emergência Nivel 1"
"MINERACAO RIO DO NORTE SA","Sem emergência"
"MINERACAO RIO DO NORTE SA","Sem emergência"
"MINERACAO RIO DO NORTE SA","Sem emergência"
"MINERACAO RIO DO NORTE SA","Sem emergência"
"MINERACAO RIO DO NORTE SA","Sem emergência"
"MINERACAO RIO DO NORTE SA","Sem emergência"
"MINERACAO RIO DO NORTE SA","Sem emergência"
"MINERACAO RIO DO NORTE SA","Sem emergência"
"MINERACAO RIO DO NORTE SA","Sem emergência"
"MINERACAO RIO DO NORTE SA","Sem emergência"
"MINERACAO RIO DO NORTE SA","Sem emergência"
"MINERACAO RIO DO NORTE SA","Sem emergência"
"MINERACAO RIO DO NORTE SA","Sem emergência"
"MINERACAO RIO DO NORTE SA","Sem emergência"
"MINERACAO RIO DO NORTE SA","Sem emergência"
"MINERACAO RIO DO NORTE SA","Sem emergência"
"MINERAÇÃO OURO BRANCO SALTO DE PIRAPORA LTDA ME","Sem emergência"
"NACIONAL DE GRAFITE LTDA","Sem emergência"
"NACIONAL DE GRAFITE LTDA","Sem emergência"
"NACIONAL DE GRAFITE LTDA","Sem emergência"
"NACIONAL DE GRAFITE LTDA","Sem emergência"
"Conterpa, Conservação e Terraplagem e Pavimentação Ltda","Sem emergência"
"NEXA RECURSOS MINERAIS S.A.","Sem emergência"
"NEXA RECURSOS MINERAIS S.A.","Sem emergência"
"FERRO + MINERACAO S.A.","Sem emergência"
"NEXA RECURSOS MINERAIS S.A.","Sem emergência"
"HELLEN ELIZABETH CORREA MARTINS","Sem emergência"
"MINERACAO BOM RETIRO LTDA","Sem emergência"
"PEDREIRA IBIUNA LTDA","Sem emergência"
"MINERACAO SERRAS DO OESTE LIMITADA","Sem emergência"
"HEUREKA MINERACAO LTDA","Sem emergência"
"HEUREKA MINERACAO LTDA","Sem emergência"
"MINERADORA AREIA NOVA LTDA","Sem emergência"
"MINERADORA PONTE ALTA LTDA","Sem emergência"
"PEDREIRA SARGON LTDA","Sem emergência"
"MINERIOS NACIONAL S.A.","Sem emergência"
"MINERIOS NACIONAL S.A.","Sem emergência"
"MINERIOS NACIONAL S.A.","Sem emergência"
"ESTANHO DE RONDONIA S/A","Sem emergência"
"ESTANHO DE RONDONIA S/A","Sem emergência"
"ESTANHO DE RONDONIA S/A","Sem emergência"
"ESTANHO DE RONDONIA S/A","Sem emergência"
"AGIS MINERACAO LTDA.","Sem emergência"
"CADAM S.A.","Sem emergência"
"CADAM S.A.","Sem emergência"
"AMAPA MINERALS LTDA","Sem emergência"
"AMAPA MINERALS LTDA","Sem emergência"
"AMAPA MINERALS LTDA","Sem emergência"
"Jeová Barbosa de Morais","Sem emergência"
"MINERACAO SERRA GRANDE S A","Sem emergência"
"Jeová Barbosa de Morais","Sem emergência"
"ANGLOGOLD ASHANTI CORREGO DO SITIO MINERACAO S.A.","Sem emergência"
"ANGLOGOLD ASHANTI CORREGO DO SITIO MINERACAO S.A.","Sem emergência"
"ANGLOGOLD ASHANTI CORREGO DO SITIO MINERACAO S.A.","Sem emergência"
"ANGLOGOLD ASHANTI CORREGO DO SITIO MINERACAO S.A.","Sem emergência"
"ANGLOGOLD ASHANTI CORREGO DO SITIO MINERACAO S.A.","Sem emergência"
"SERGIO DA SILVA","Sem emergência"
"Brasmic Mineração Areia e Brita Ltda","Sem emergência"
"Copelmi Mineração Ltda","Nível de Alerta"
"Copelmi Mineração Ltda","Emergência Nivel 1"
"CSN MINERACAO S.A.","Emergência Nivel 1"
"CSN MINERACAO S.A.","Emergência Nivel 1"
"CSN MINERACAO S.A.","Emergência Nivel 1"
"MINERBRAS MINERACAO LTDA","Emergência Nivel 1"
"NX GOLD S.A. Filial: NX GOLD S.A.","Emergência Nivel 1"
"NX GOLD S.A. Filial: NX GOLD S.A.","Sem emergência"
"NX GOLD S.A. Filial: NX GOLD S.A.","Emergência Nivel 1"
"CSN MINERACAO S.A.","Sem emergência"
"COOPERMETAL - COOPERATIVA METALURGICA DE RONDONIA","Sem emergência"
"COOPERMETAL - COOPERATIVA METALURGICA DE RONDONIA","Sem emergência"
"GABRIELLA MINERACAO LTDA","Sem emergência"
"COOPERATIVA DOS GARIMPEIROS DE SANTA CRUZ - COOPERSANTA","Sem emergência"
"DEV MINERACAO S.A. - EM RECUPERACAO JUDICIAL","Sem emergência"
"EUROMAQUINAS MINERACAO LTDA","Sem emergência"
"INDUSTRIAS NUCLEARES DO BRASIL S.A - INB","Sem emergência"
"INDUSTRIAS NUCLEARES DO BRASIL S.A - INB","Sem emergência"
"INDUSTRIAS NUCLEARES DO BRASIL S.A - INB","Sem emergência"
"INDUSTRIAS NUCLEARES DO BRASIL S.A - INB","Sem emergência"
"LARGO VANADIO DE MARACAS S.A","Sem emergência"
"GINEZ GIMENES NETO","Sem emergência"
"GINEZ GIMENES NETO","Sem emergência"
"LARGO VANADIO DE MARACAS S.A","Sem emergência"
"LARGO VANADIO DE MARACAS S.A","Sem emergência"
"LARGO VANADIO DE MARACAS S.A","Sem emergência"
"COOPERATIVA DOS GARIMPEIROS DE SANTA CRUZ - COOPERSANTA","Sem emergência"
"COOPERATIVA DOS GARIMPEIROS DE SANTA CRUZ - COOPERSANTA","Sem emergência"
"COOPERATIVA DE MINERACAO DOS GARIMPEIROS DE PONTES E LACERDA - COMPEL","Sem emergência"
"COOPERATIVA DE MINERACAO DOS GARIMPEIROS DE PONTES E LACERDA - COMPEL","Sem emergência"
"COOPERATIVA DE MINERACAO DOS GARIMPEIROS DE PONTES E LACERDA - COMPEL","Sem emergência"
"MINERACAO PARAGOMINAS S.A. Filial: MINERACAO PARAGOMINAS S.A.","Sem emergência"
"COOPERATIVA DE MINERACAO DOS GARIMPEIROS DE PONTES E LACERDA - COMPEL","Sem emergência"
"MINERACAO PARAGOMINAS S.A. Filial: MINERACAO PARAGOMINAS S.A.","Sem emergência"
"MINERACAO PARAGOMINAS S.A. Filial: MINERACAO PARAGOMINAS S.A.","Sem emergência"
"MINERACAO PARAGOMINAS S.A.","Emergência Nivel 1"
"ADRIANO JOSE DE MOURA SOUSA","Sem emergência"
"ITAFOS ARRAIAS MINERACAO E FERTILIZANTES S.A.","Sem emergência"
"CIMENTO TUPI S.A. EM RECUPERACAO JUDICIAL","Sem emergência"
"CSN MINERACAO S.A.","Sem emergência"
"COOPERATIVA DE MINERACAO DOS GARIMPEIROS DE PONTES E LACERDA - COMPEL","Sem emergência"
"MINERACAO ABDALA LTDA","Sem emergência"
"MINERACAO ABDALA LTDA","Sem emergência"
"YARA BRASIL FERTILIZANTES S/A Filial: YARA BRASIL FERTILIZANTES S/A","Sem emergência"
"SAMACA FERROS LTDA","Sem emergência"
"SAMACA FERROS LTDA","Sem emergência"
"Extrativa Metalurgia S A","Sem emergência"
"SAMACA FERROS LTDA","Sem emergência"
"SAMACA FERROS LTDA","Sem emergência"
"COOPERATIVA DOS GARIMPEIROS DE SANTA CRUZ - COOPERSANTA","Sem emergência"
"MORRO AGUDO MINERAIS LTDA","Sem emergência"
"MORRO AGUDO MINERAIS LTDA","Sem emergência"
"MORRO AGUDO MINERAIS LTDA","Sem emergência"
"CARBONIFERA SIDEROPOLIS LTDA","Emergência Nivel 1"
"T B K - MINERACAO LIMITADA","Emergência Nivel 1"
"BURITIRAMA MINERACAO S.A. FALIDO","Emergência Nivel 1"
"BURITIRAMA MINERACAO S.A. FALIDO","Emergência Nivel 1"
"BURITIRAMA MINERACAO S.A. FALIDO","Emergência Nivel 1"
"MINERACAO MORRO DO IPE S.A.","Emergência Nivel 1"
"MINERACAO MORRO DO IPE S.A.","Sem emergência"
"MINERACAO MORRO DO IPE S.A.","Sem emergência"
"COMPANHIA BRASILEIRA DO COBRE","Emergência Nivel 1"
"Geominas Minerações Ltda.","Sem emergência"
"FREDERICO AUGUSTO ROSA DO CARMO","Sem emergência"
"PATOS DE MINAS FOSFATADOS LTDA","Sem emergência"
"PATOS DE MINAS FOSFATADOS LTDA","Sem emergência"
"GREEN METALS NOVA ERA SOLUCOES AMBIENTAIS S.A","Sem emergência"
"BRAZAURO RECURSOS MINERAIS S.A.","Sem emergência"
"INDUSTRIAS NUCLEARES DO BRASIL S.A - INB","Sem emergência"
"HUMBERTO AFFONSO DEL NERY","Sem emergência"
