"nome","nomemina"
"Barragem de Sedimentos da Pedreira Itapeti - BA1","TABOÃO 02"
"Monjolo","Barragem B3"
"Norte/Laranjeiras","Dique de Contenção Pilha de Estéril MMR"
"Barragem de Sedimentos da Pedreira Itapeti - BA2","Barramento 1"
"Porteirinha","Dique Santa Rita"
"Sul (Córrego do Canal)","BARRAGEM DE DEPOSIÇÃO DE LAMA"
"PDE 3","D-2"
"2","D-1"
"A - PDE Nordeste","D-3"
"C - PDE Nordeste","TANQUE DE LAMA"
"Fazendinha","CAMC"
"Sul Superior","Guará 2"
"Barragem Rio Fiorita","Piteiras"
"JOAO PAULO","CAMPOS"
"LU","Barragem Santa Helena"
"Barragem 1 - Decantação","RIO BRANCO"
"Pocilga","DIQUE DE SAÍDA DE CAVA"
"Principal","BARRAGEM DE GABIÕES"
"PDE Engano","SUMP DE CONTENÇÃO DE SEDIMENTOS"
"PDE Lagoa Seca","TD2"
"Barragem Lauro Muller","TANQUE DE DECANTAÇÃO"
"Barragem 101","TANQUE DE DECANTAÇÃO 2"
"5 (MAC)","MNP-01"
"7B","GERAIS"
"Barragem BA-3","803.285/2014"
"COQUEIRAL","QUIXABA USINA"
"Sul Inferior","Dique 01 de Terra"
"Barragem Eustáquio","Dique 2 de Concreto"
"Barragem BD-2","Dique 01 - Serra Azul"
"Barragem Santo Antônio","Dique 02 - Pitangui"
"Tanque Específico IX-B","Dique 06 - Véu da Noiva Jusante"
"1 Mina","Dique 08 - Pátio CMC"
"Tanque Específico X","Dique de Concreto"
"Tanque Específico XI","Rejeito"
"Tanque Específico XII","BARRAGEM  BLOCO NORTE"
"Barragem BD-5","BARRAGEM BLOCO  SUL"
"Barragem Antas Norte","CHAPADINHA 061"
"Barragem BL-1","CHAPADINHA 221"
"Barragem BR","PIRAPORÃO 138 II"
"Barragem BRI","PIRAPORÃO 138 III"
"Menezes I","BACIA DE REJEITO MINERGOLD"
"Menezes II","Barragem Salinas 1"
"VI","Dique 03"
"VII","Bacuri"
"Alain II","SAMACA"
"BOM PASTOR","BARRAGEM"
"OURINHOS I","REJEITO USINA"
"FRED","Bacia de Conteção de Finos da PDE-A Norte"
"CANGAS","Bacia de Conteção de Finos da PDE-A Sul"
"Dique de Contenção Pilha de Estéril MMR","Reservatório 01"
"RONDON","Dique 4 (Barragem 3 - Bota fora)"
"SANDRO GOMES","RESERVATÓRIO 01"
"MARANATA","RESERVATÓRIO 01"
"CHICO","Bacia 01"
"Dique - Pilha de Rejeito","Bacia 07"
"DIQUE D","Bacia 09"
"Barragem E","Bacia 15"
"Barragem B5","Bacia 16"
"Barragem Captação de Água","Bacia 17"
"Barragem B2","RESERVATÓRIO 01"
"Barragem F","RESERVATÓRIO 02"
"Barragem A","RESERVATÓRIO 01"
"Barragem Samambaia 0 (Zero)","BARRAGEM DA USINA"
"Barragem B1","Medrado 1"
"Barragem A0","Medrado 2"
"Barragem B2","Medrado 3"
"Dique 01 Serra Azul - Dique Vai e Volta 1","Dique de Sedimentos da PDE Cava Sul"
"Barragem B3","CSO1"
"Barragem B1/B4","PN - 1"
"Dique 02 Serra Azul - Dique Vai e Volta 2","PN - 3"
"Dique 03 Serra Azul - Dique Vai e Volta 3","PN - 4"
"Dique 06","PN - 6"
"Dique 13 - Pains","PS -1"
"Dique 14","13 - AN"
"Dique Couves (MUSA)","Queimada"
"Dique da Divisa","Barragem Morro Pelado"
"Dique da Oficina","Boa Sorte"
"Dique da Oficina II","Sedimentação de finos"
"Dique Flotação","CAVA 1"
"5 (Mutuca)","CAVA 2"
"Dique Intermediário","Deposito de Finos Porto de Areia Serramar"
"Dique Leste I","Fiori"
"Dique Leste II","decantação de finos / reservatorio agua processo"
"Dique Leste III","R22"
"Dique Mazano","R75"
"Dique da Mineira","Area M"
"Dique BIV-3 - Dique Hércules","Dutra"
"Dique Oeste","Barragem T04"
"Lagoa 2","Barragem Morro Pelado 2"
"Dique de Finos","Dique Quéias - Captação de Água"
"Turmalina","Dique B2 - Pilha de Estéril João Manoel"
"Barramento 1","Dique B3 - Pilha de Estéril João Manoel"
"JBS1","12 - AN"
"TANQUE DE DECANTAÇÃO","Barragem 1 - Dique de Contenção"
"Barrragem do Vené","Barragem 2 - Captação de Água"
"Quevedo 1","Dique 1"
"TABOÃO 01","Barragem do Fundão"
"TABOÃO 02","Barragem dos Coqueiros"
"Barragem Paciência","Dique 2"
"Moita","Dique 3"
"Barragem A1","Dique BIII-6"
"Barragem Água Fria","Dique BIII-7"
"SP1","Dique de Captação"
"SP10","Dique - Pilha 2"
"SP11","Dique - Pilha 4"
"SP12","Dique Conquistinha"
"BARRAGEM CASA DE PEDRA","Lagoa de Disposição n°04 - LD4"
"SP13","PDE02"
"SP14","Pilha 01 - P1C1"
"SP15","Pilha 01 P1C2"
"BARRAGEM B4","Pilha 01 - P1C4"
"SP16","Pilha 01 - P1C5"
"BARRAGEM DO LAGARTO","Pilha 01 - P1C6"
"SP2_3","Pilha 01 - P1C7"
"SP4 Norte","Pilha 01 - P1C8"
"SP4 Sul","Pilha 01 - P1C9"
"DIQUE DO ESMERIL IV","Pilha 05 - P5C1"
"SP5 Leste","Pilha 05 - P5C2"
"SP5 Oeste","Pilha 05 - P5C3"
"SP6","Pilha 05 - P5C4"
"SP7A","Pilha 05 - P5C5"
"SP7B","Pilha 05 - XC1"
"SP7C","Pilha 05 - P5XC2"
"SP8","BARAÚNA - PBC1"
"SP9","BARAÚNA - PBC2"
"SP9A","BARAÚNA - PBC3"
"TP1","BARRAGEM B1"
"TP2","Barragem de Clarificação de Água"
"GONÇA","Baia 4"
"SANTA TERESA","Dique 5 (Barragem 4 - Bota fora)"
"TANQUE DE LAMA","Dique de Finos I"
"D-1","Dique de Finos II"
"CAMPOS","Dique dos Búfalos"
"D-2","MD 05/2016"
"DIQUE DE FINOS I","Dique de finos 01 - Depósito Tamanduá"
"1 Usina","Dique de finos 02 - Depósito Tamanduá"
"3 Mina","Dique de finos 03 - Depósito Tamanduá"
"Sul Pilha","BARRAGEM DE CONTENÇÃO DE ÁGUAS PLUVIAIS-DIQUE D-03"
"Piteiras","Gambá"
"D-3","Pocilga"
"BARRAGEM SUL OU TANQUE VELHO","PDE Lagoa Seca"
"Barragem 1","Bacia 05 Alto da Serra"
"Barragem da Mina II","SANTO ANTÔNIO"
"DIQUE DE FINOS II","Dique Portaria"
"Barragem da Cava","GAÚCHO"
"Barragem do Felipe","BARRAGEM GEOMINAS-001"
"Barragem do Muriacá","BARRAGEM GEOMINAS-002"
"CALCINADOS","MBR II NORTE"
"Barragem do Mirante I e II","Bacia 02-03 Alto da Serra Mn"
"0-1","RODUÍ II"
"COCURUTO","Barragem T05"
"CONTENÇÃO DE REJEITOS DE CDS II","Barragem T06"
"CONTENÇÃO DE REJEITOS DE CUIABÁ","Barragem B1"
"22","Barragem B3"
"Barragem de Rejeitos de Irecê","SANTA LUZIA"
"LAGOA FACEL 4","P6C4"
"30/jan.","P6C01"
"LAGOA FACEL 3","P6C02"
"42","TQ-1"
"68-1","TQ-2"
"69","PILHA01-C10"
"75-1","PILHA01-C11"
"81-1","PILHA01-C12"
"Barragem B2","PILHA01-C13"
"Barragem B3","PILHA05-C06"
"Barragem B4","PILHA07-C1"
"158 (A-1)","PILHA05-XC03"
"161 (A-2)","CA01"
"B5","CA02"
"RIO BRANCO","PILHA 06 - P6C3"
"DIQUE DE FINOS III","Gerais II"
"BARRAGEM DO VIGIA","MARANATA II"
"BARRAGEM B2 AUXILIAR","Dique dos Borges"
"BARRAGEM B2","CA03"
"CONTENÇÃO DE FINOS DE CDS I","CA04"
"BARRAGEM ECOLÓGICA 1","QUEIMADA02"
"B4","QUEIMADA03"
"RAPAUNHA","MANÉ"
"BARRAGEM DE FINOS II","PILHA 01 - P1C14"
"BARRAGEM DE REJEITOS DO MIRIM","PILHA 05 - P5C07"
"Sítio Horii","PILHA 05 - P5C08"
"Barragem Santa Helena","PILHA 05 - P5C09"
"Barragem de rejeito não magnético 02","PILHA 01 - PIC1A"
"Barragem de rejeito não magnético 03","PILHASUL - PCS1"
"PORTO-4A","PILHASUL - PCS2"
"Barragem Santa Rita","PILHASUL - PCS3"
"Dique Santa Rita","11 - DES"
"SANTO ANTÔNIO","Chapadinha 061 B"
"VILA NOVA","Barragem Oriente01"
