"nome","nomemina"
"Pilha 01 - P1C9","Pera Jusante"
"Pilha 05 - P5C1","Jacaré"
"Pilha 05 - P5C2","Barragem 01"
"Pilha 05 - P5C3","Barragem 02"
"Pilha 05 - P5C4","Geladinho"
"Pilha 05 - P5C5","Barragem de Rejeito 1"
"Pilha 05 - XC1","Azul"
"Pilha 05 - P5XC2","SANDRO GOMES"
"BARAÚNA - PBC1","BARRAGEM T01"
"BARAÚNA - PBC2","Kalunga"
"BARAÚNA - PBC3","Barragem AFGM GP2"
"BARRAGEM B1","BARRAGEM 02"
"Baia 4","Barragem 01"
"Água Fria","5 (Mutuca)"
"Volta Grande 3","Alto Jacutinga"
"Dique de Finos I","Nova Baixo João Pereira"
"Dique de Finos II","Barnabé"
"Dique dos Búfalos","Barnabé 1"
"Dique do Puma 01","Forquilha I"
"BACIA DE DECANTAÇÃO - PLANTA I","Forquilha II"
"MD 05/2016","Maney Mineração"
"Barragem B6","Marés I"
"Dique de finos 01 - Depósito Tamanduá","Marés II"
"Dique de finos 02 - Depósito Tamanduá","B"
"Dique de finos 03 - Depósito Tamanduá","Capão da Serra"
"Bom Retiro 2","Cianita 1"
"Barragem do Serginho","Cianita 2"
"MBR II SUL","Cianita 3"
"Barragem de Rejeito Não Magnético 04","Horizontes"
"Dique Portaria","II"
"Pond - PDE Sul","III"
"OURO FINO","Água Fria"
"GAÚCHO","Maravilhas II"
"Cianita 2","Maravilhas III"
"Cianita 3","Peneirinha"
"BARRAGEM GEOMINAS-001","Vargem Grande"
"BARRAGEM GEOMINAS-002","FAZENDA 4M"
"MBR II NORTE","Barragem de Rejeitos do Córrego Baco Pari"
"Moça Bonita","OURO FINO"
"Maney Mineração","FRED"
"Santa Tereza II","Área IX"
"RODUÍ II","BARRAGEM 7"
"Barragem de Rejeito 1","Dique de Pedra"
"Barragem T05","Forquilha IV"
"Barragem T06","Forquilha V"
"BR ISMAEL","Grupo"
"Barragem B1","Forquilha III"
"Barragem B3","JOAO PAULO"
"SANTA LUZIA","Barragem B2"
"Dique de Contenção de Sedimentos 03","Barragem B1"
"Dique de Contenção de Sedimentos 04","Barragem B5"
"Maravilhas III","Barragem Antas Norte"
"P6C4","ED Monjolo"
"P6C01","ED Vale das Cobras"
"P6C02","Norte/Laranjeiras"
"TQ-1","Novo Dique dos Macacos"
"TQ-2","Barragem de Germano"
"PILHA01-C10","Dique 1010"
"PILHA01-C11","Barragem Eixo 1"
"PILHA01-C12","Nova Barragem de Santarém"
"PILHA01-C13","Cava do Germano"
"PILHA05-C06","CASA DE PEDRA"
"PILHA07-C1","Barragem de Rejeito Max"
"PILHA05-XC03","Dique S4"
"SP19","TB01"
"Barragem de Rejeito Estrela","Barragem TB02"
"Barragem de Rejeito Estrela 02","Agua Limpa"
"BR SANTA 01","Planta"
"Santa Maria","Barragem Santa Rita"
"Lagoa de Disposição n°05 - LD5","BARRAGEM T02"
"PILHA 06 - P6C3","Barragem EPP"
"Gerais II","Cabeceiras"
"MARANATA II","Casarão"
"Unidade IB","Dique de Finos"
"Barragem Torto","Dique S3"
"Dique dos Borges","Barragem de Decantação de Água e Polpa - EBII - Mineroduto"
"CA03","Dique de Finos"
"CA04","Cava Camarinha"
"QUEIMADA02","Cava Pedrinhas"
"QUEIMADA03","B6"
"MANÉ","B7"
"Barragem AFGM GP2","Taquaras"
"PILHA 01 - P1C14","Alcindo Vieira"
"PILHA 05 - P5C07","Cemig I"
"PILHA 05 - P5C08","Bacia A"
"PILHA 05 - P5C09","Cemig II"
"Grameiro","Bacia B"
"Novo Dique dos Macacos","Conceição"
"LD6 - Lagoa de Disposição 6","Bacia de Acumulação A"
"PILHA 01 - PIC1A","Itabiruçu"
"PILHASUL - PCS1","Bacia de Acumulação B"
"PILHASUL - PCS2","Jirau"
"PILHASUL - PCS3","Piabas"
"ED Vale das Cobras","Santana"
"ED Monjolo","Borrachudo II"
"Xingu","B5"
"Chapadinha 061 B","Cambucal II"
"Barragem Oriente01","Pontal"
"SP-25A","BACIA DE DECANTAÇÃO - PLANTA I"
"BR SANTA FELICIDADE 02","Barragem 1"
"BR PIRÂMIDE","Barragem 2"
"Berion","Barragem B12"
"Campos","Barragem A"
"Elvo 1","Barragem A0"
"Barragem TB02","Itamarati de Minas"
"Bacia de Decantação S1","Miraí"
"Fortuna","Barragem Lauro Muller - Bacia 4"
"Bacia de Acumulação A","Barragem Lauro Muller"
"Bacia de Acumulação B","Moita"
"BR SANTA FELICIDADE 03","Turmalina"
"T G de Souza","Barragem Rio Fiorita"
"Dorival","Barragem B1/B4"
"Barragem Lauro Muller - Bacia 4","Bacia de Decantação Final No Bota Fora"
"Bacia de Acumulação de Efluente Tratado","Barragem B6"
"Rabo de Bica","Pinheirinho"
"Santa Helena","Barragem E"
"Leste","Barragem F"
"Barragem Candonga","Barragem B5"
"Barragem Jatobá","Barragem B2"
"BARRAGEM ÁGUA BRANCA","Barragem BA-3"
"6","Barragem BD-2"
"7a","Barragem BD-5"
"Dique 1","Barragem BL-1"
"Área IX","Barragem BRI"
"Dique IV","Barragem BR"
"Dique V","Barragem BM"
"Dique VII","Barragem BR"
"Alvo Crente","Dique de Contenção de Salmoura"
"LD7 - Lagoa de Disposição 7","Dique de Resíduos Insóluveis"
"BR BRASÃO","Cachoeirinha"
"Elvo Captação","Dique Lisa"
"BRASE01","Santa Bárbara"
"Barragem I","BARRAGEM JVR"
"Barragem Magrini","B4"
"PILHA 01 - PIC16","Gregório"
"PILHA 01 - PIC17","BARRAGEM SERROTE"
"PILHA 06 - P6C5","Barragem Eustáquio"
"BARRAGEM SERROTE","Barragem Santo Antônio"
"Agua Limpa","Tanque Específico IX-B"
"Barragem T08","Tanque Específico X"
"Barragem T09","Tanque Específico XI"
"FRANCÊS","Tanque Específico XII"
"Barragem de Mineração-CPM","BR PIRÂMIDE"
"JABURU","Rio do Peixe"
"ARENAL","BR SANTA FELICIDADE"
"Dique B2","Borrachudo"
"Davi","BR SANTA 01"
"Fazenda Nova","Cambucal I"
"Isa","BR SANTA FELICIDADE 03"
"SOL NASCENTE","Quinzinho"
"Barragem Torio 01","TR1"
"MASSANGANA 01","Bacia 1 A"
"SR.PEDRINHO","Bacia 1 B"
"FAZENDA 4M","Bacia 2"
"BP-01","Bacia 3"
"BP-02","Bacia 5 A"
"Tadeu","Bacia 5 B"
"Labourrie","Bacia 5 C"
"SERRA","Bacia 6 A"
"BRAVO II","Bacia de Segurança"
"Barragem 01","Bacia 6B"
"Barragem 02","Bacia B 1"
"JABURU 2","Deposito de Rejeito R4"
"Neta","Bacia de Controle Ambiental"
"Bacia 6B","BR BRASÃO"
"Barragem Fazenda Aguassu","Santa Maria"
"Martins","Barragem de Rejeitos Bom Futuro"
"BARRAGEM COOP 01","BRAVO 1"
"Dique do Grotão","Tanque Fundo"
"Barragem B1","JABURU"
"BARRAGEM JVR","Barragem Tocantinzinho"
"Barragem  LVR","Célula 01"
"VALE GOLD","Barragem Jatobá"
"Bacia do Castanheira","Alemães"
"LD-01","COCURUTO"
"Pilha 07 - P7C2","Baias da UTM II"
"Barragem TB","Barragem A1"
"Barragem de Rejeitos SB 02","Barragem Água Fria"
"BR ÁGUA DE COCO","SP2_3"
"CHIMBUVA","SP6"
"Dique de Pedra","SP8"
"Barragem Quéias","SP9"
"brejão","SP10"
"MULTI 1","SP11"
"Barragem JL","SP13"
"BRITO","SP14"
"Barragem B1","SP15"
"Barragem B2","SP4 Norte"
"Barragem B5","SP7A"
"PILHA 11 - P11C1","SP9A"
"PILHA 11 - P11C2","TP3"
"Dique de Contenção de Sedimentos 05","SP12"
"PILHA11 - P11C3","SP-25A"
"PILHA11 - P11C4","SP-25B"
"Cajueiro","SP-25C"
"Barragem 1","SP16"
"Barragem 2","SP19"
"Barragem 3","SP4 Sul"
"Barragem 4","SP5 Leste"
"TUPA 2","SP5 Oeste"
"TUPA 3","SP7B"
"Barragem Jauru","SP7C"
"Barragem Serrinha","TP1"
"Bacia Grota da Onça","TP2"
"LD 8 - Lagoa de disposição 8","SP1"
"TB04","OURO BRANCO OESTE"
"Barragem - Valdenir","B4"
"Barragem Novo Astro","Califórnia"
"TARUMÃ II","Marçu"
"Novo Astro I","Rancho Casca"
"Barragem Bacia de Decantação 02","Conterpa"
"Barragem Bacia de Decantação 03","Modulo 3"
"BIG BERION","Módulo IV"
"Quevedo 3","Barragem de Contenção de Sedimentos do Josino"
"RX-01","Barragem Aroeira"
"Lagoa São Chico","Martins"
"Santa Bárbara","Bom Retiro 2"
"BR ÁGUIA DO SOL","MBR II SUL"
"STC03","Barragem Paciência"
"LIPINISKY","Barragem de Rejeito Estrela"
"Barragem II","Barragem de Rejeito Estrela 02"
"Nova Baixo João Pereira","Conjunto de cavas em desativação recuperação"
"Módulo IV","Guará 3"
"Barragem de Rejeito Almas","Dique 3 (Barragem 1 - Portaria)"
"MD-01","BARRAGEM B2"
"Dique do Dry Stacking","BARRAGEM B2 AUXILIAR"
"Barragem_Valdenir2","BARRAGEM ECOLÓGICA 1"
"BACIA USINA DE BENEFICIAMENTO - IA","Taboquinha 02 - Serra Azul"
"BACIA USINA DE BENEFICIAMENTO - IB","Taboquinha 01 - Crente"
"BACIA DE RECIRCULAÇÃO - RI","Taboquinha 03"
"BACIA DE RECIRCULAÇÃO - RII","Taboquinha 04"
"BARRAGEM DE MINERAÇÃO","BARRAGEM DE CLARIFICAÇÃO"
"PURO OURO","Barragem do Mirante I e II"
"BARBA","Barragem da Cava"
"VCS","North Mill Pond"
"MOCOTÓ","TAP D"
"BR SANTA FELICIDADE 04","Leste"
"VALE DO OURO","Santa Tereza"
"Barragem MSJ","Barragem MSG"
"CATARINO","Santa Tereza II"
"TR1","CONTENÇÃO DE REJEITOS DE CDS II"
"SP-25B","CONTENÇÃO DE FINOS DE CDS I"
"SP-25C","CONTENÇÃO DE REJEITOS DE CUIABÁ"
"BARRAGEM 03","CALCINADOS"
"Barragem de Rejeito - Mineração Ouro Fino","RAPAUNHA"
"Mineração Livramento","Barragem do Serginho"
"P.R.A","DIQUE D"
"Barragem de Rejeitos - BAR","Bacia de Finos da Mina do Recreio"
"BARRAGEM D4","Bacia de Finos da Mina do Cerro"
"TQ 6301 A - POND 1 A","BARRAGEM DO VIGIA"
"TQ 6301 B - POND 1 B","BARRAGEM B4"
"TQ 6302 - POND 2","BARRAGEM CASA DE PEDRA"
"TQ 6303 - POND 3","BARRAGEM T03"
"BR02","POND 1 - BARRAGEM DE LIXIVIAÇÃO"
"BR03","POND 2 - BARRAGEM DE FLOTAÇÃO"
"Bacia Nestor Figueiredo - BNF","POND 3 - BARRAGEM DE FLOTAÇÃO"
"Dique PDE 1","DIQUE DO ESMERIL IV"
"Barragem de Rejeito Capim Gold 2","Igarapé Mutum"
"Barragem do Vené II","Rio Santa Cruz"
"Sistema de Contenção de Sedimentos Pinta Bem","BACIA DE DECANTAÇÃO DA USINA RIO FIORITA"
"Dique de Contenção de Sedimentos Crista","Jacaré Inferior"
"Dique do Puma 04","Mario Cruz"
"Barragem Tocantinzinho","B5"
"Célula 01","TQ 6301 A - POND 1 A"
"NSL 01","TQ 6301 B - POND 1 B"
"Sump da Pilha 1","TQ 6302 - POND 2"
"Barragem Cava 14","TQ 6303 - POND 3"
"Martins 2","Bacia de Rejeito Não Magnético 06"
"CAFUNDÓ","TUPA 2"
"Dique do Puma 08","TUPA 3"
"Barragem Metago","Barragem de rejeito não magnético 02"
"Dique 1010","Barragem de rejeito não magnético 03"
"SP-24A","Barragem de Rejeito Não Magnético 04"
"SP-24B","Jacaré Superior"
"SP-24C","Jacaré Medio"
"Bacia de Rejeito Não Magnético 06","Berion"
"Manga","BIG BERION"
"Mosquitos","Campos"
"TQ 63202 - Bacia de Finos Cachoeira","B1"
"TQ 63201 - Pré Bacia Cachoeira","Manga"
"Dique de finos 01 - Depósito Área VIII","B5"
"BACIA DE DECANTAÇÃO  DIQUE DE ENROCAMENTO PDE6 - FASE 1","B6"
"SANTA RITA","RP1"
"BARRAGEM JF ROST","SANTA RITA"
"BARRAGEM DE REJEITO NORMA","BARRAGEM DE CONTENÇÃO DE REJEITOS"
"SÃO RAFAEL","BARRAGEM DE REJEITOS"
"Chácara Santa Maria","DIQUE DO BICHENTO IIIA"
"BRAVO IV","Elvo 1"
"Beariz","BR02"
"Dique de Finos","Bacia de Rejeitos"
"Mosquitos 2","CAVA B"
"Barragem Rejeito Max 2","Barragem 01"
"Barragem VERA","Barragem 02"
"Barragem XAVIER","BARRAGEM REJEITOS"
"QB-01","DIQUE 2"
"Dique Pilha Brumado","ITAPEVA"
"BARRAGEM MANAH 1","Belíssima"
"Barragem PM1","Barragem 1"
"TD1","Barragem 2"
"TD4","Barragem 3"
"Sedimentacao IV","Bacia de Acumulação 01"
"km 190","TANQUE DE DECANTAÇÃO"
"Baixinhos","Barragem do Bandeira"
"T11","Dique do Grotão"
"Sentinela","Bacia do Castanheira"
"Sedimentacao V","Barragem B1 - Mina Ipê"
"Tupa 1","Barragem B2 - Mina Tico-Tico"
"Barragem GMX","Barragem B1-Auxiliar - Mina Tico-Tico"
"Dique Santa Cruz","Barragem CBC"
"Barragem de Rejeito 01","BARRAGEM GEOMINAS"
"VICTOR","SP-23"
"Barragem Sankara","Barragem A"
"Beariz 2","Barragem C"
"SP-23","Barragem Mãe D'Água"
"Barragem Célula 02","Barragem Célula 02"
"TQ 63102 - Bacia de Águas Pluviais","TQ 63102 - Bacia de Águas Pluviais"
"BARRAGEM DE MINERAÇÃO HUMBERTO","BARRAGEM DE MINERAÇÃO HUMBERTO"
