"nome","nomemina","nomeempreendedor","uf"
"Cambucal I","Barragem B2","HERCULANO MINERACAO LTDA","MG"
"Cambucal II","Barragem B3","HERCULANO MINERACAO LTDA","MG"
"Cemig I","BARRAGEM 01","COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA","RO"
"Cemig II","BARRAGEM 02","COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA","RO"
"Conceição","BARRAGEM SÃO GERALDO","COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA","PA"
"Itabiruçu","BARRAGEM SAO GERALDO 02","COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA","PA"
"Jirau","BARRAGEM TABOQUINHA","COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA","RO"
"Piabas","BARRAGEM TARILÂNDIA 01","COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA","RO"
"Pontal","BARRAGEM 339","COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA","RO"
"BARRAGEM  USINA BENEFICIAMENTO L7 - IIB","BARRAGEM 341","COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA","RO"
"Santana","BARRAGEM URUPA 01","COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA","RO"
"BARRAGEM USINA BENEFICIAMENTO ESPONGILITO - IVA","Barragem 3A - Sedimentação","MSM Mineração Serra da Moeda Ltda.","MG"
"BARRAGEM USINA BENEFICIAMENTO ESPONGILITO - IVB","Barragem 3B - Sedimentação","MSM Mineração Serra da Moeda Ltda.","MG"
"Barragem 1","Barragem 4 - Acumulação","MSM Mineração Serra da Moeda Ltda.","MG"
"Barragem 2","barragem 7 - Dique Filtrante","MSM Mineração Serra da Moeda Ltda.","MG"
"BACIA DE SEDIMENTO DA USINA DE TRATAMENTO","Barragem 8 - Dique Filtrante","MSM Mineração Serra da Moeda Ltda.","MG"
"engebrita","Barragem 9 - Dique Filtrante","MSM Mineração Serra da Moeda Ltda.","MG"
"BARRAGEM USINA BENEFICIAMENTO L7 - IIA","Barragem 5 - Captação","MSM Mineração Serra da Moeda Ltda.","MG"
"BARRAGEM USINA BENEFICIAMENTO L8 - IIIA","Barragem 6 - Dique Filtrante","MSM Mineração Serra da Moeda Ltda.","MG"
"BARRAGEM USINA BENEFICIAMENTO L8 - IIIB","42","MINERACAO TABOCA S A","AM"
"Quinzinho","68-1","MINERACAO TABOCA S A","AM"
"Rio do Peixe","69","MINERACAO TABOCA S A","AM"
"Galego","75-1","MINERACAO TABOCA S A","AM"
"B3","30/jan.","MINERACAO TABOCA S A","AM"
"Barragem de Sedimentos da Pedreira Juruaçu - BA4","22","MINERACAO TABOCA S A","AM"
"Dicão","189","MINERACAO TABOCA S A","AM"
"Diogo","Barragem 1","COMPANHIA MINERADORA DO PIROCLORO DE ARAXA","MG"
"Elefante","TABOÃO 01","EXTRACAO DE AREIA TABOAO LTDA","SP"
"Barragem de Sedimentos da Pedreira Itapeti - BA1","TABOÃO 02","EXTRACAO DE AREIA TABOAO LTDA","SP"
"Monjolo","Barragem B3","MINERACAO GERAL DO BRASIL S/A","MG"
"Norte/Laranjeiras","Dique de Contenção Pilha de Estéril MMR","CSN CIMENTOS BRASIL S.A. Filial: CSN CIMENTOS BRASIL S.A.","MG"
"Barragem de Sedimentos da Pedreira Itapeti - BA2","Barramento 1","MINERADORA PEDRIX LTDA","SP"
"Porteirinha","Dique Santa Rita","ATLANTIC NICKEL MINERACAO LTDA","BA"
"Sul (Córrego do Canal)","BARRAGEM DE DEPOSIÇÃO DE LAMA","XILOLITE S/A","BA"
"PDE 3","D-2","Mineração Pedra Menina Ltda","MG"
"2","D-1","Mineração Pedra Menina Ltda","MG"
"A - PDE Nordeste","D-3","Mineração Pedra Menina Ltda","MG"
"C - PDE Nordeste","TANQUE DE LAMA","CONCRESAND MINERACAO E TRANSPORTE LTDA","SP"
"Fazendinha","CAMC","MINERADORA PONTE ALTA LTDA","SP"
"Sul Superior","Guará 2","MINERADORA PONTE ALTA LTDA","SP"
"Barragem Rio Fiorita","Piteiras","Piteiras Mineração Ltda.","MG"
"JOAO PAULO","CAMPOS","MARCELO BOZETTI","MT"
"LU","Barragem Santa Helena","COMPANHIA BRASILEIRA DE BENTONITA LTDA","BA"
"Barragem 1 - Decantação","RIO BRANCO","MINERAIS & METAIS COMERCIO E INDUSTRIA LTDA Filial: MINERAIS & METAIS COMERCIO E INDUSTRIA LTDA","RO"
"Pocilga","DIQUE DE SAÍDA DE CAVA","EMPRESA DE MINERACAO ESPERANCA S A","SP"
"Principal","BARRAGEM DE GABIÕES","EMPRESA DE MINERACAO ESPERANCA S A","SP"
"PDE Engano","SUMP DE CONTENÇÃO DE SEDIMENTOS","EMPRESA DE MINERACAO ESPERANCA S A","SP"
"PDE Lagoa Seca","TD2","DISK-BASE EXT.DE AREIA E COM.DE MAT.P/CONST.LTDA","RS"
"Barragem Lauro Muller","TANQUE DE DECANTAÇÃO","Mineração Santa Luzia de Aguaí Ltda","MG"
"Barragem 101","TANQUE DE DECANTAÇÃO 2","Mineração Santa Luzia de Aguaí Ltda","PI"
"5 (MAC)","MNP-01","Mineração Nova Petrópolis Ltda.","PB"
"7B","GERAIS","MINERACOES GERAIS LTDA","MG"
"Barragem BA-3","803.285/2014","PLINIO ALMEIDA BOSON & CIA LTDA","MG"
"COQUEIRAL","QUIXABA USINA","ROZEN MINERADORA, CONSULTORIA E ASSESSORIA EM GESTAO EMPRESARIAL LTDA","MG"
"Sul Inferior","Dique 01 de Terra","ARCELORMITTAL BRASIL S.A.","MG"
"Barragem Eustáquio","Dique 2 de Concreto","ARCELORMITTAL BRASIL S.A.","MG"
"Barragem BD-2","Dique 01 - Serra Azul","Minerita Minérios Itaúna Ltda.","MG"
"Barragem Santo Antônio","Dique 02 - Pitangui","Minerita Minérios Itaúna Ltda.","MG"
"Tanque Específico IX-B","Dique 06 - Véu da Noiva Jusante","Minerita Minérios Itaúna Ltda.","MT"
"1 Mina","Dique 08 - Pátio CMC","Minerita Minérios Itaúna Ltda.","MT"
"Tanque Específico X","Dique de Concreto","Minerita Minérios Itaúna Ltda.","MT"
"Tanque Específico XI","Rejeito","Vantage Brasil Mineração Ltda.","SP"
"Tanque Específico XII","BARRAGEM  BLOCO NORTE","ANGELO CARLOS VICARI JUNIOR","SP"
"Barragem BD-5","BARRAGEM BLOCO  SUL","ANGELO CARLOS VICARI JUNIOR","SP"
"Barragem Antas Norte","CHAPADINHA 061","UILSON ROMANHA & CIA LTDA","MG"
"Barragem BL-1","CHAPADINHA 221","UILSON ROMANHA & CIA LTDA","MT"
"Barragem BR","PIRAPORÃO 138 II","UILSON ROMANHA & CIA LTDA","MT"
"Barragem BRI","PIRAPORÃO 138 III","UILSON ROMANHA & CIA LTDA","SC"
"Menezes I","BACIA DE REJEITO MINERGOLD","Marcelo Busnardo EPP","AP"
"Menezes II","Barragem Salinas 1","SALINAS GOLD MINERACAO LTDA","AP"
"VI","Dique 03","MINERACAO COMISA LTDA","AP"
"VII","Bacuri","Mineração Vila Nova Ltda","MG"
"Alain II","SAMACA","Mineração Vila Nova Ltda","MG"
"BOM PASTOR","BARRAGEM","MONTE SINAI MINERACAO LTDA","RO"
"OURINHOS I","REJEITO USINA","ORO AMAPA MINERACAO","SP"
"FRED","Bacia de Conteção de Finos da PDE-A Norte","GERDAU ACOMINAS S/A","RO"
"CANGAS","Bacia de Conteção de Finos da PDE-A Sul","GERDAU ACOMINAS S/A","MG"
"Dique de Contenção Pilha de Estéril MMR","Reservatório 01","WHITE SOLDER METALURGIA E MINERACAO LTDA Filial: WHITE SOLDER METALURGIA E MINERACAO LTDA","MG"
"RONDON","Dique 4 (Barragem 3 - Bota fora)","PEDREIRA SARGON LTDA","MG"
"SANDRO GOMES","RESERVATÓRIO 01","NORTE SUL TERRAPLENAGEM E COMERCIO LTDA","MG"
"MARANATA","RESERVATÓRIO 01","FARIAS & RODRIGUES LTDA","MG"
"CHICO","Bacia 01","ARCELORMITTAL BRASIL S.A.","MG"
"Dique - Pilha de Rejeito","Bacia 07","ARCELORMITTAL BRASIL S.A.","MG"
"DIQUE D","Bacia 09","ARCELORMITTAL BRASIL S.A.","RO"
"Barragem E","Bacia 15","ARCELORMITTAL BRASIL S.A.","RO"
"Barragem B5","Bacia 16","ARCELORMITTAL BRASIL S.A.","AP"
"Barragem Captação de Água","Bacia 17","ARCELORMITTAL BRASIL S.A.","BA"
"Barragem B2","RESERVATÓRIO 01","PORTO COMERCIO DE AREIA LTDA","BA"
"Barragem F","RESERVATÓRIO 02","MULLER & CIA LTDA","BA"
"Barragem A","RESERVATÓRIO 01","MULLER & CIA LTDA","MG"
"Barragem Samambaia 0 (Zero)","BARRAGEM DA USINA","EMPRESA DE MINERACAO, EXPORTACAO E PESQUISA DO AMAPA LTDA","PA"
"Barragem B1","Medrado 1","CIA DE FERRO LIGAS DA BAHIA FERBASA","PA"
"Barragem A0","Medrado 2","CIA DE FERRO LIGAS DA BAHIA FERBASA","PA"
"Barragem B2","Medrado 3","CIA DE FERRO LIGAS DA BAHIA FERBASA","PA"
"Dique 01 Serra Azul - Dique Vai e Volta 1","Dique de Sedimentos da PDE Cava Sul","FERRO + MINERACAO S.A.","PA"
"Barragem B3","CSO1","SALOBO METAIS S/A","PA"
"Barragem B1/B4","PN - 1","SALOBO METAIS S/A","SP"
"Dique 02 Serra Azul - Dique Vai e Volta 2","PN - 3","SALOBO METAIS S/A","RO"
"Dique 03 Serra Azul - Dique Vai e Volta 3","PN - 4","SALOBO METAIS S/A","GO"
"Dique 06","PN - 6","SALOBO METAIS S/A","SP"
"Dique 13 - Pains","PS -1","SALOBO METAIS S/A","SP"
"Dique 14","13 - AN","MINERACAO JUNDU LTDA","SP"
"Dique Couves (MUSA)","Queimada","METALMIG MINERACAO INDUSTRIA E COMERCIO S/A","SP"
"Dique da Divisa","Barragem Morro Pelado","BRASIL MINERIOS S/A","SP"
"Dique da Oficina","Boa Sorte","EMPRESA MINERADORA BOA SORTE LTDA","SP"
"Dique da Oficina II","Sedimentação de finos","EXTRAÇÃO E COMÉRCIO DE AREIA BOFETE LTDA","SP"
"Dique Flotação","CAVA 1","L PAVAN & CIA LTDA","BA"
"5 (Mutuca)","CAVA 2","L PAVAN & CIA LTDA","BA"
"Dique Intermediário","Deposito de Finos Porto de Areia Serramar","AGROPECUARIA SERRAMAR LTDA","MA"
"Dique Leste I","Fiori","Empresa de Mineração Fiori do Taboão Ltda.","SP"
"Dique Leste II","decantação de finos / reservatorio agua processo","MINERADORA AREIA NOVA LTDA","MT"
"Dique Leste III","R22","MINERACAO CARAIBA S/A","GO"
"Dique Mazano","R75","MINERACAO CARAIBA S/A","MG"
"Dique da Mineira","Area M","CBE COMPANHIA BRASILEIRA DE EQUIPAMENTO Filial: CBE COMPANHIA BRASILEIRA DE EQUIPAMENTO - EM RECUPERACAO JUDICIAL","MG"
"Dique BIV-3 - Dique Hércules","Dutra","DUTRA EXTRACAO DE AREIA LTDA","MG"
"Dique Oeste","Barragem T04","Valdinei Mauro de Souza","SP"
"Lagoa 2","Barragem Morro Pelado 2","BRASIL MINERIOS S/A","MG"
"Dique de Finos","Dique Quéias - Captação de Água","MINERACAO COMISA LTDA","MG"
"Turmalina","Dique B2 - Pilha de Estéril João Manoel","SAMARCO MINERACAO S.A. EM RECUPERACAO JUDICIAL","MG"
"Barramento 1","Dique B3 - Pilha de Estéril João Manoel","SAMARCO MINERACAO S.A. EM RECUPERACAO JUDICIAL","MG"
"JBS1","12 - AN","MINERACAO JUNDU LTDA","MG"
"TANQUE DE DECANTAÇÃO","Barragem 1 - Dique de Contenção","Construtora Martins Lanna Ltda.","MG"
"Barrragem do Vené","Barragem 2 - Captação de Água","Construtora Martins Lanna Ltda.","MG"
"Quevedo 1","Dique 1","CARBETO DE SILICIO SIKA BRASIL LTDA","MG"
