"nomeempreendedor","total_barragens"
"NEXA RECURSOS MINERAIS S.A.","3"
"VALGNO DE MATOS TINOCO","1"
"M & J MINERACAO, PISCICULTURA E REFLORESTAMENTO - EIRELI","1"
"NORTE SUL TERRAPLENAGEM E COMERCIO LTDA","1"
"COOPROBAND - COOPERATIVA DE PRODUTORES MINERAIS DE NOVA BANDEIRANTES","2"
"METALMIG MINERACAO INDUSTRIA E COMERCIO S/A","8"
"BRASIL MINERIOS S/A","2"
"COMPANHIA BAIANA DE PESQUISA MINERAL CBPM","1"
"CAIO CESAR GIMENES RODRIGUES SILVA","1"
"FAZENDA BRASILEIRO DESENVOLVIMENTO MINERAL LTDA","3"
"ANGLOGOLD ASHANTI CORREGO DO SITIO MINERACAO S.A.","8"
"Humberto Covezzi","1"
"PROMETALICA MINERACAO LTDA","1"
"COMPANHIA BRASILEIRA DE ALUMINIO","2"
"HEUREKA MINERACAO LTDA","3"
"ARTEMYN RIO CAPIM CAULIM LTDA.","10"
"Marcus Vítor Nunes Lindote","1"
"NIKI MINERACAO, COMERCIO E EXPORTACAO LTDA.","1"
"MINERACAO GERAL DO BRASIL S/A","3"
"CENTRO OESTE GOLD MINE S.A.","1"
"SIDNEI RAFAEL DE SOUZA","4"
"MINERACAO RIO DO NORTE SA","32"
"MINERACAO RIACHO DOS MACHADOS LTDA.","1"
"ALAIN STEPHANE RIVIERE MINERACAO","3"
"COOPERATIVA MISTA DOS GARIMPEIROS DE PEIXOTO DE AZEVEDO","1"
"AMAPA MINERALS LTDA","3"
"Empresa de Mineração e Artefatos de Cimento Jbs Ltda Epp","1"
"FERROMINAS - MINERAÇÃO LTDA","2"
"EXTRACAO DE AREIA TABOAO LTDA","2"
"MINERBRAS MINERACAO LTDA","2"
"NORMA ARGES OLIVA","2"
"EMPRESA MINERADORA BOA SORTE LTDA","1"
"DUTRA EXTRACAO DE AREIA LTDA","1"
"PILAR DE GOIAS DESENVOLVIMENTO MINERAL LTDA","1"
"ADAO AFONSO RODUI","1"
"Jeová Barbosa de Morais","2"
"João Gimenes Rodrigues","1"
"COMPANHIA RIOGRANDENSE DE MINERACAO CRM","1"
"Empresa de Mineração Fiori do Taboão Ltda.","1"
"ARCELORMITTAL BRASIL S.A.","10"
"CASCAR BRASIL MINERACAO LTDA","1"
"ELISA MACIEL SANTOS RIVA","1"
"BRAZAURO RECURSOS MINERAIS S.A.","3"
"DELIA GODOY RAZUK","1"
"COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA","9"
"MINERACAO PARAGOMINAS S.A. Filial: MINERACAO PARAGOMINAS S.A.","3"
"Maxcimiliano Mendes Nascimento","1"
"MINERACAO NOSSA SENHORA DO CARMO LTDA","2"
"ITAFOS ARRAIAS MINERACAO E FERTILIZANTES S.A.","1"
"MINERACAO FL JOTAS LTDA","2"
"EXTRAÇÃO E COMÉRCIO DE AREIA BOFETE LTDA","1"
"DIEGO MACEDO CARDOSO","1"
"AVB MINERACAO LTDA.","3"
"BRASE - BRASIL EXTRACAO, COMERCIO E INDUSTRIA DE ESTANHO EIRELI","1"
"CARBONIFERA SIDEROPOLIS LTDA","2"
"A. C. ZARANELLA LTDA","1"
"MINERIOS NACIONAL S.A.","3"
"GF GOLD MINERACAO EIRELI","2"
"PORTO DE AREIA BRANCA LTDA","1"
"GERDAU ACOMINAS S/A","6"
"LARGO VANADIO DE MARACAS S.A","4"
"JOAO ROBERTO CARDOSO","1"
"SICAL INDUSTRIAL LTDA.","1"
"RENALDO RUDI SCHORK","1"
"MINAR MINERACAO AREDES LTDA","1"
"PEDREIRA IBIUNA LTDA","2"
"COOPERATIVA DE EXTRACAO MINERAL DE NOSSA SENHORA DO LIVRAMENTO","6"
"Extrativa Metalurgia S A","1"
"Topazio Imperial Mineração Comercio e Industria Ltda","1"
"R G R FILHO MINERACAO","1"
"SAMACA FERROS LTDA","5"
"ROSEMEIRE BENEDETTI ALVES","2"
"FARIAS & RODRIGUES LTDA","1"
"LHG MINING CORUMBA S.A","3"
"VALLOUREC TUBOS DO BRASIL LTDA.","3"
"CATARINO PEDROSO DE BARROS","1"
"Davi Alves Bicalho","2"
"Fellipe Gabriel Firmino Bravo","1"
"DISK-BASE EXT.DE AREIA E COM.DE MAT.P/CONST.LTDA","3"
"HUMBERTO AFFONSO DEL NERY","1"
"Mineração Santa Luzia de Aguaí Ltda","2"
"MINERACAO BOM RETIRO LTDA","1"
"Valdinei Mauro de Souza","11"
"Mineração Sanguinete Ltda","1"
"COOPERATIVA DOS GARIMPEIROS DO VALE DO VILA NOVA","4"
"RIDALECIO DE SOUZA","1"
"M. M. GOLD MINERACAO LTDA","3"
"SERABI MINERACAO S.A.","3"
"Ricardo Padilla de Bordon Neves","1"
"Robinson da Silva Bravo","1"
"SERRINHA GOLDMINE LTDA","1"
"Geominas Minerações Ltda.","3"
"EMPRESA DE MINERACAO, EXPORTACAO E PESQUISA DO AMAPA LTDA","1"
"MOSAIC FERTILIZANTES P&K LTDA.","30"
"L PAVAN & CIA LTDA","2"
"SALOBO METAIS S/A","12"
"XILOLITE S/A","1"
"MINERACAO JUNDU LTDA","5"
"MINERADORA AREIA NOVA LTDA","3"
"JOSE MARIA OTAVIO MARTINS DUARTE","3"
"ADRIANO JOSE DE MOURA SOUSA","1"
"CONCRESAND MINERACAO E TRANSPORTE LTDA","1"
"CSN CIMENTOS S.A.","2"
"EXTRACAO E COMERCIO DE AREIA QUEVEDO & SILVA LTDA","2"
"INDUSTRIA E COMERCIO DE MINERIOS S/A - ICOMI","6"
"SANDER LIMA DE FRANCA","1"
"MINERADORA PEDRIX LTDA","1"
"Rodrigo Moraes Fiacadori","1"
"KINROSS BRASIL MINERACAO S/A","6"
"COOPERATIVA DE MINERACAO DOS GARIMPEIROS DE PONTES E LACERDA - COMPEL","7"
"Victor Augusto de Arruda Gimenez","1"
"AGROPECUARIA SERRAMAR LTDA","1"
"SERGIO DA SILVA","2"
"VETRIA MINERACAO S.A.","4"
"MINERACAO ONCA PUMA S.A.","9"
"RIVER GOLD MINERACAO LTDA","1"
"Pollyana Moreira Dias","1"
"HELLEN ELIZABETH CORREA MARTINS","2"
