"nome","municipio"
"Pilha 01 - P1C3","RIO PIRACICABA"
"Pilha 01 - P1C4","SANTA BÁRBARA"
"Pilha 01 - P1C5","RIO PIRACICABA"
"Pilha 01 - P1C6","POCONÉ"
"Pilha 01 - P1C7","POCONÉ"
"Pilha 01 - P1C8","PARAUAPEBAS"
"Pilha 01 - P1C9","PARAUAPEBAS"
"Pilha 05 - P5C1","PARAUAPEBAS"
"Pilha 05 - P5C2","POCONÉ"
"Pilha 05 - P5C3","POCONÉ"
"Pilha 05 - P5C4","PARAUAPEBAS"
"Pilha 05 - P5C5","POCONÉ"
"Pilha 05 - XC1","PARAUAPEBAS"
"Pilha 05 - P5XC2","POCONÉ"
"BARAÚNA - PBC1","POCONÉ"
"BARAÚNA - PBC2","PARAUAPEBAS"
"BARAÚNA - PBC3","POCONÉ"
"BARRAGEM B1","JACOBINA"
"Baia 4","JACOBINA"
"Água Fria","NOVA LIMA"
"Volta Grande 3","CONGONHAS"
"Dique de Finos I","CONGONHAS"
"Dique de Finos II","CONGONHAS"
"Dique dos Búfalos","CONGONHAS"
"Dique do Puma 01","OURO PRETO"
"BACIA DE DECANTAÇÃO - PLANTA I","OURO PRETO"
"MD 05/2016","ITAITUBA"
"Barragem B6","BELO VALE"
"Dique de finos 01 - Depósito Tamanduá","BELO VALE"
"Dique de finos 02 - Depósito Tamanduá","NOVA LIMA"
"Dique de finos 03 - Depósito Tamanduá","NOVA LIMA"
"Bom Retiro 2","ITABIRITO"
"Barragem do Serginho","ITABIRITO"
"MBR II SUL","ITABIRITO"
"Barragem de Rejeito Não Magnético 04","NOVA LIMA"
"Dique Portaria","NOVA LIMA"
"Pond - PDE Sul","NOVA LIMA"
"OURO FINO","OURO PRETO"
"GAÚCHO","ITABIRITO"
"Cianita 2","ITABIRITO"
"Cianita 3","NOVA LIMA"
"BARRAGEM GEOMINAS-001","NOVA LIMA"
"BARRAGEM GEOMINAS-002","NOSSA SENHORA DO LIVRAMENTO"
"MBR II NORTE","ALTO HORIZONTE"
"Moça Bonita","POCONÉ"
"Maney Mineração","POCONÉ"
"Santa Tereza II","OURO PRETO"
"RODUÍ II","JECEABA"
"Barragem de Rejeito 1","OURO PRETO"
"Barragem T05","OURO PRETO"
"Barragem T06","OURO PRETO"
"BR ISMAEL","OURO PRETO"
"Barragem B1","OURO PRETO"
"Barragem B3","POCONÉ"
"SANTA LUZIA","ITAITUBA"
"Dique de Contenção de Sedimentos 03","ITAITUBA"
"Dique de Contenção de Sedimentos 04","ITAITUBA"
"Maravilhas III","CURIONÓPOLIS"
"P6C4","SANTA BÁRBARA"
"P6C01","RIO PIRACICABA"
"P6C02","BARÃO DE COCAIS"
"TQ-1","OURO PRETO"
"TQ-2","MARIANA"
"PILHA01-C10","MARIANA"
"PILHA01-C11","MARIANA"
"PILHA01-C12","MARIANA"
"PILHA01-C13","MARIANA"
"PILHA05-C06","CUIABÁ"
"PILHA07-C1","NOSSA SENHORA DO LIVRAMENTO"
"PILHA05-XC03","MARIANA"
"SP19","NOSSA SENHORA DO LIVRAMENTO"
"Barragem de Rejeito Estrela","NOSSA SENHORA DO LIVRAMENTO"
"Barragem de Rejeito Estrela 02","SÃO TIAGO"
"BR SANTA 01","RIO BRANCO"
"Santa Maria","ITAGIBÁ"
"Lagoa de Disposição n°05 - LD5","CUIABÁ"
"PILHA 06 - P6C3","PONTES E LACERDA"
"Gerais II","VILA BELA DA SANTÍSSIMA TRINDADE"
"MARANATA II","VILA BELA DA SANTÍSSIMA TRINDADE"
"Unidade IB","VILA BELA DA SANTÍSSIMA TRINDADE"
"Barragem Torto","MARIANA"
"Dique dos Borges","MATIPÓ"
"CA03","CURRAIS NOVOS"
"CA04","CAMPO FORMOSO"
"QUEIMADA02","CAMPO FORMOSO"
"QUEIMADA03","NOVA LIMA"
"MANÉ","NOVA LIMA"
"Barragem AFGM GP2","NOVA LIMA"
"PILHA 01 - P1C14","ITABIRA"
"PILHA 05 - P5C07","ITABIRA"
"PILHA 05 - P5C08","TREVISO"
"PILHA 05 - P5C09","ITABIRA"
"Grameiro","TREVISO"
"Novo Dique dos Macacos","ITABIRA"
"LD6 - Lagoa de Disposição 6","TREVISO"
"PILHA 01 - PIC1A","ITABIRA"
"PILHASUL - PCS1","TREVISO"
"PILHASUL - PCS2","ITABIRA"
"PILHASUL - PCS3","ITABIRA"
"ED Vale das Cobras","ITABIRA"
"ED Monjolo","ITABIRA"
"Xingu","OURO PRETO"
"Chapadinha 061 B","ITABIRA"
"Barragem Oriente01","ITABIRA"
"SP-25A","SANTANA DE PARNAÍBA"
"BR SANTA FELICIDADE 02","CAJATI"
"BR PIRÂMIDE","CAJATI"
"Berion","CAJATI"
"Campos","ARAXÁ"
"Elvo 1","ARAXÁ"
"Barragem TB02","ITAMARATI DE MINAS"
"Bacia de Decantação S1","MIRAÍ"
"Fortuna","LAURO MÜLLER"
"Bacia de Acumulação A","LAURO MÜLLER"
"Bacia de Acumulação B","CAETÉ"
"BR SANTA FELICIDADE 03","CONCEIÇÃO DO PARÁ"
"T G de Souza","SIDERÓPOLIS"
"Dorival","ARAXÁ"
"Barragem Lauro Muller - Bacia 4","CERRO AZUL"
"Bacia de Acumulação de Efluente Tratado","ARAXÁ"
"Rabo de Bica","CERRO AZUL"
"Santa Helena","ARAXÁ"
"Leste","ARAXÁ"
"Barragem Candonga","ARAXÁ"
"Barragem Jatobá","ARAXÁ"
"BARRAGEM ÁGUA BRANCA","TAPIRA"
"6","TAPIRA"
"7a","TAPIRA"
"Dique 1","TAPIRA"
"Área IX","TAPIRA"
"Dique IV","TAPIRA"
"Dique V","CATALÃO"
"Dique VII","CATALÃO"
"Alvo Crente","ROSÁRIO DO CATETE"
"LD7 - Lagoa de Disposição 7","ROSÁRIO DO CATETE"
"BR BRASÃO","NOVA LIMA"
"Elvo Captação","NOVA LIMA"
"BRASE01","BRUMADINHO"
"Barragem I","CUIABÁ"
"Barragem Magrini","SARZEDO"
"PILHA 01 - PIC16","CORUMBÁ"
"PILHA 01 - PIC17","CRAÍBAS"
"PILHA 06 - P6C5","PARACATU"
"BARRAGEM SERROTE","PARACATU"
"Agua Limpa","PARACATU"
"Barragem T08","PARACATU"
"Barragem T09","PARACATU"
"FRANCÊS","PARACATU"
"Barragem de Mineração-CPM","NOSSA SENHORA DO LIVRAMENTO"
"JABURU","ITABIRA"
"ARENAL","NOSSA SENHORA DO LIVRAMENTO"
"Dique B2","ITABIRA"
"Davi","NOSSA SENHORA DO LIVRAMENTO"
"Fazenda Nova","ITABIRA"
"Isa","CUIABÁ"
"SOL NASCENTE","ITABIRA"
"Barragem Torio 01","NOSSA SENHORA DO LIVRAMENTO"
"MASSANGANA 01","BARCARENA"
"SR.PEDRINHO","BARCARENA"
"FAZENDA 4M","BARCARENA"
"BP-01","BARCARENA"
"BP-02","BARCARENA"
"Tadeu","BARCARENA"
"Labourrie","BARCARENA"
"SERRA","BARCARENA"
"BRAVO II","BARCARENA"
"Barragem 01","BARCARENA"
"Barragem 02","IPIXUNA DO PARÁ"
"JABURU 2","IPIXUNA DO PARÁ"
"Neta","IPIXUNA DO PARÁ"
"Bacia 6B","NOSSA SENHORA DO LIVRAMENTO"
"Barragem Fazenda Aguassu","NOSSA SENHORA DO LIVRAMENTO"
"Martins","NOSSA SENHORA DO LIVRAMENTO"
"BARRAGEM COOP 01","NOSSA SENHORA DO LIVRAMENTO"
"Dique do Grotão","NOSSA SENHORA DO LIVRAMENTO"
"Barragem B1","NOSSA SENHORA DO LIVRAMENTO"
"BARRAGEM JVR","ITAITUBA"
"Barragem  LVR","ITAITUBA"
"VALE GOLD","POCONÉ"
"Bacia do Castanheira","OURO PRETO"
"LD-01","NOVA LIMA"
"Pilha 07 - P7C2","OURO PRETO"
"Barragem TB","ORIXIMINÁ"
"Barragem de Rejeitos SB 02","ORIXIMINÁ"
"BR ÁGUA DE COCO","ORIXIMINÁ"
"CHIMBUVA","ORIXIMINÁ"
"Dique de Pedra","ORIXIMINÁ"
"Barragem Quéias","ORIXIMINÁ"
"brejão","ORIXIMINÁ"
"MULTI 1","ORIXIMINÁ"
"Barragem JL","ORIXIMINÁ"
"BRITO","ORIXIMINÁ"
"Barragem B1","ORIXIMINÁ"
"Barragem B2","ORIXIMINÁ"
"Barragem B5","ORIXIMINÁ"
"PILHA 11 - P11C1","ORIXIMINÁ"
"PILHA 11 - P11C2","ORIXIMINÁ"
"Dique de Contenção de Sedimentos 05","ORIXIMINÁ"
"PILHA11 - P11C3","ORIXIMINÁ"
"PILHA11 - P11C4","ORIXIMINÁ"
"Cajueiro","ORIXIMINÁ"
"Barragem 1","ORIXIMINÁ"
"Barragem 2","ORIXIMINÁ"
"Barragem 3","ORIXIMINÁ"
"Barragem 4","ORIXIMINÁ"
"TUPA 2","ORIXIMINÁ"
"TUPA 3","ORIXIMINÁ"
"Barragem Jauru","ORIXIMINÁ"
"Barragem Serrinha","ORIXIMINÁ"
"Bacia Grota da Onça","ORIXIMINÁ"
"LD 8 - Lagoa de disposição 8","ORIXIMINÁ"
"TB04","SALTO DE PIRAPORA"
"Barragem - Valdenir","ITAPECERICA"
"Barragem Novo Astro","SALTO DA DIVISA"
"TARUMÃ II","PEDRA AZUL"
"Novo Astro I","PEDRA AZUL"
"Barragem Bacia de Decantação 02","HORTOLÂNDIA"
"Barragem Bacia de Decantação 03","VAZANTE"
"BIG BERION","VAZANTE"
"Quevedo 3","OURO PRETO"
"RX-01","VAZANTE"
"Lagoa São Chico","POCONÉ"
"Santa Bárbara","LEME"
"BR ÁGUIA DO SOL","IBIÚNA"
"STC03","ITABIRITO"
"LIPINISKY","NOSSA SENHORA DO LIVRAMENTO"
"Barragem II","NOSSA SENHORA DO LIVRAMENTO"
"Nova Baixo João Pereira","BOFETE"
"Módulo IV","GUARAREMA"
"Barragem de Rejeito Almas","SANTA ISABEL"
"MD-01","RIO ACIMA"
"Dique do Dry Stacking","RIO ACIMA"
"Barragem_Valdenir2","RIO ACIMA"
"BACIA USINA DE BENEFICIAMENTO - IA","ITAPUÃ DO OESTE"
"BACIA USINA DE BENEFICIAMENTO - IB","ITAPUÃ DO OESTE"
"BACIA DE RECIRCULAÇÃO - RI","ITAPUÃ DO OESTE"
"BACIA DE RECIRCULAÇÃO - RII","ITAPUÃ DO OESTE"
"BARRAGEM DE MINERAÇÃO","SÃO PAULO"
"PURO OURO","ALMEIRIM"
"BARBA","VITÓRIA DO JARI"
"VCS","PEDRA BRANCA DO AMAPARI"
"MOCOTÓ","PEDRA BRANCA DO AMAPARI"
"BR SANTA FELICIDADE 04","PEDRA BRANCA DO AMAPARI"
"VALE DO OURO","NOSSA SENHORA DO LIVRAMENTO"
"Barragem MSJ","CRIXÁS"
"CATARINO","NOSSA SENHORA DO LIVRAMENTO"
"TR1","SANTA BÁRBARA"
"SP-25B","SANTA BÁRBARA"
"SP-25C","SABARÁ"
"BARRAGEM 03","NOVA LIMA"
"Barragem de Rejeito - Mineração Ouro Fino","NOVA LIMA"
"Mineração Livramento","NOSSA SENHORA DO LIVRAMENTO"
"P.R.A","BETIM"
"Barragem de Rejeitos - BAR","BUTIÁ"
"BARRAGEM D4","CACHOEIRA DO SUL"
"TQ 6301 A - POND 1 A","OURO PRETO"
"TQ 6301 B - POND 1 B","CONGONHAS"
"TQ 6302 - POND 2","CONGONHAS"
"TQ 6303 - POND 3","NOSSA SENHORA DO LIVRAMENTO"
"BR02","NOVA XAVANTINA"
"BR03","NOVA XAVANTINA"
"Bacia Nestor Figueiredo - BNF","NOVA XAVANTINA"
"Dique PDE 1","CONGONHAS"
"Barragem de Rejeito Capim Gold 2","ARIQUEMES"
"Barragem do Vené II","ARIQUEMES"
"Sistema de Contenção de Sedimentos Pinta Bem","SIDERÓPOLIS"
"Dique de Contenção de Sedimentos Crista","ARIQUEMES"
"Dique do Puma 04","PEDRA BRANCA DO AMAPARI"
"Barragem Tocantinzinho","NOVA LACERDA"
"Célula 01","CAETITÉ"
"NSL 01","CAETITÉ"
"Sump da Pilha 1","CAETITÉ"
"Barragem Cava 14","CAETITÉ"
"Martins 2","MARACÁS"
"CAFUNDÓ","POCONÉ"
"Dique do Puma 08","POCONÉ"
"Barragem Metago","MARACÁS"
"Dique 1010","MARACÁS"
"SP-24A","MARACÁS"
"SP-24B","ARIQUEMES"
"SP-24C","ARIQUEMES"
"Bacia de Rejeito Não Magnético 06","PONTES E LACERDA"
"Manga","PONTES E LACERDA"
"Mosquitos","PONTES E LACERDA"
"TQ 63202 - Bacia de Finos Cachoeira","PARAGOMINAS"
"TQ 63201 - Pré Bacia Cachoeira","PONTES E LACERDA"
"Dique de finos 01 - Depósito Área VIII","PARAGOMINAS"
"BACIA DE DECANTAÇÃO  DIQUE DE ENROCAMENTO PDE6 - FASE 1","PARAGOMINAS"
"SANTA RITA","PARAGOMINAS"
"BARRAGEM JF ROST","NIQUELÂNDIA"
"BARRAGEM DE REJEITO NORMA","ARRAIAS"
"SÃO RAFAEL","QUATIS"
"Chácara Santa Maria","CONGONHAS"
"BRAVO IV","PONTES E LACERDA"
"Beariz","NOSSA SENHORA DO LIVRAMENTO"
"Dique de Finos","NOSSA SENHORA DO LIVRAMENTO"
"Mosquitos 2","LAGAMAR"
"Barragem Rejeito Max 2","MAIQUINIQUE"
"Barragem VERA","MAIQUINIQUE"
"Barragem XAVIER","FORTALEZA DE MINAS"
"QB-01","MAIQUINIQUE"
"Dique Pilha Brumado","RIBEIRÃO BRANCO"
"BARRAGEM MANAH 1","ARIQUEMES"
"Barragem PM1","PARACATU"
"TD1","PARACATU"
"TD4","PARACATU"
"Sedimentacao IV","URUSSANGA"
"km 190","MONTE MOR"
"Baixinhos","MARABÁ"
"T11","MARABÁ"
"Sentinela","MARABÁ"
"Sedimentacao V","BRUMADINHO"
"Tupa 1","IGARAPÉ"
"Barragem GMX","IGARAPÉ"
"Dique Santa Cruz","CAÇAPAVA DO SUL"
"Barragem de Rejeito 01","NATIVIDADE"
"VICTOR","ORIXIMINÁ"
"Barragem Sankara","PATOS DE MINAS"
"Beariz 2","PATOS DE MINAS"
"SP-23","NOVA ERA"
"Barragem Célula 02","ITAITUBA"
"TQ 63102 - Bacia de Águas Pluviais","CAETITÉ"
"BARRAGEM DE MINERAÇÃO HUMBERTO","NOSSA SENHORA DO LIVRAMENTO"
