"nome","municipio"
"Norte/Laranjeiras","PRADOS"
"Barragem de Sedimentos da Pedreira Itapeti - BA2","CAIEIRAS"
"Porteirinha","ITAGIBÁ"
"Sul (Córrego do Canal)","BRUMADO"
"PDE 3","SENADOR MODESTINO GONÇALVES"
"2","SENADOR MODESTINO GONÇALVES"
"A - PDE Nordeste","SENADOR MODESTINO GONÇALVES"
"C - PDE Nordeste","BOFETE"
"Fazendinha","MOGI DAS CRUZES"
"Sul Superior","GUARAREMA"
"Barragem Rio Fiorita","ITABIRA"
"JOAO PAULO","POCONÉ"
"LU","VITÓRIA DA CONQUISTA"
"Barragem 1 - Decantação","RIO CRESPO"
"Pocilga","BRUMADINHO"
"Principal","BRUMADINHO"
"PDE Engano","BRUMADINHO"
"PDE Lagoa Seca","ALAMBARI"
"Barragem Lauro Muller","AGUAÍ"
"Barragem 101","AGUAÍ"
"5 (MAC)","NOVA PETRÓPOLIS"
"7B","INHAÚMA"
"Barragem BA-3","SÃO LOURENÇO DO PIAUÍ"
"COQUEIRAL","VÁRZEA"
"Sul Inferior","ITATIAIUÇU"
"Barragem Eustáquio","ITATIAIUÇU"
"Barragem BD-2","MATEUS LEME"
"Barragem Santo Antônio","MATEUS LEME"
"Tanque Específico IX-B","ITATIAIUÇU"
"1 Mina","ITATIAIUÇU"
"Tanque Específico X","ITATIAIUÇU"
"Tanque Específico XI","JUÍNA"
"Tanque Específico XII","NOVA SANTA HELENA"
"Barragem BD-5","NOVA SANTA HELENA"
"Barragem Antas Norte","ITAPETININGA"
"Barragem BL-1","ITAPETININGA"
"Barragem BR","SALTO DE PIRAPORA"
"Barragem BRI","SALTO DE PIRAPORA"
"Menezes I","NOSSA SENHORA DO LIVRAMENTO"
"Menezes II","NOSSA SENHORA DO LIVRAMENTO"
"VI","BRUMADINHO"
"VII","MAZAGÃO"
"Alain II","MAZAGÃO"
"BOM PASTOR","MONTE DO CARMO"
"OURINHOS I","CALÇOENE"
"FRED","ITABIRITO"
"CANGAS","ITABIRITO"
"Dique de Contenção Pilha de Estéril MMR","RIO CRESPO"
"RONDON","SANTA ISABEL"
"SANDRO GOMES","VILHENA"
"MARANATA","VILHENA"
"CHICO","BELA VISTA DE MINAS"
"Dique - Pilha de Rejeito","BELA VISTA DE MINAS"
"DIQUE D","BELA VISTA DE MINAS"
"Barragem E","BELA VISTA DE MINAS"
"Barragem B5","BELA VISTA DE MINAS"
"Barragem Captação de Água","BELA VISTA DE MINAS"
"Barragem B2","VILHENA"
"Barragem F","VILHENA"
"Barragem A","VILHENA"
"Barragem Samambaia 0 (Zero)","CALÇOENE"
"Barragem B1","ANDORINHA"
"Barragem A0","ANDORINHA"
"Barragem B2","ANDORINHA"
"Dique 01 Serra Azul - Dique Vai e Volta 1","CONGONHAS"
"Barragem B3","CANAÃ DOS CARAJÁS"
"Barragem B1/B4","CANAÃ DOS CARAJÁS"
"Dique 02 Serra Azul - Dique Vai e Volta 2","CANAÃ DOS CARAJÁS"
"Dique 03 Serra Azul - Dique Vai e Volta 3","CANAÃ DOS CARAJÁS"
"Dique 06","CANAÃ DOS CARAJÁS"
"Dique 13 - Pains","CANAÃ DOS CARAJÁS"
"Dique 14","ANALÂNDIA"
"Dique Couves (MUSA)","ITAPUÃ DO OESTE"
"Dique da Divisa","SÃO LUÍS DE MONTES BELOS"
"Dique da Oficina","MOGI DAS CRUZES"
"Dique da Oficina II","BOFETE"
"Dique Flotação","SÃO PAULO"
"5 (Mutuca)","SÃO PAULO"
"Dique Intermediário","CARAGUATATUBA"
"Dique Leste I","MOGI DAS CRUZES"
"Dique Leste II","BOFETE"
"Dique Leste III","JAGUARARI"
"Dique Mazano","JAGUARARI"
"Dique da Mineira","CODÓ"
"Dique BIV-3 - Dique Hércules","MOGI DAS CRUZES"
"Dique Oeste","CUIABÁ"
"Lagoa 2","SÃO LUÍS DE MONTES BELOS"
"Dique de Finos","BRUMADINHO"
"Turmalina","MARIANA"
"Barramento 1","MARIANA"
"JBS1","ANALÂNDIA"
"TANQUE DE DECANTAÇÃO","BETIM"
"Barrragem do Vené","BETIM"
"Quevedo 1","ITUTINGA"
"TABOÃO 01","SABARÁ"
"TABOÃO 02","SABARÁ"
"Barragem Paciência","ITUTINGA"
"Moita","ITUTINGA"
"Barragem A1","ITAÚNA"
"Barragem Água Fria","ITAÚNA"
"SP1","CATAS ALTAS"
"SP10","BRUMADINHO"
"SP11","BRUMADINHO"
"SP12","BRUMADINHO"
"BARRAGEM CASA DE PEDRA","JURUTI"
"SP13","PARAUAPEBAS"
"SP14","JAGUARARI"
"SP15","JAGUARARI"
"BARRAGEM B4","JAGUARARI"
"SP16","JAGUARARI"
"BARRAGEM DO LAGARTO","JAGUARARI"
"SP2_3","JAGUARARI"
"SP4 Norte","JAGUARARI"
"SP4 Sul","JAGUARARI"
"DIQUE DO ESMERIL IV","JAGUARARI"
"SP5 Leste","JAGUARARI"
"SP5 Oeste","JAGUARARI"
"SP6","JAGUARARI"
"SP7A","JAGUARARI"
"SP7B","JAGUARARI"
"SP7C","JAGUARARI"
"SP8","JAGUARARI"
"SP9","JAGUARARI"
"SP9A","JAGUARARI"
"TP1","LAGAMAR"
"TP2","FERREIRA GOMES"
"GONÇA","CORUMBÁ"
"SANTA TERESA","SANTA ISABEL"
"TANQUE DE LAMA","CURIONÓPOLIS"
"D-1","CURIONÓPOLIS"
"CAMPOS","ARAXÁ"
"D-2","DESCALVADO"
"DIQUE DE FINOS I","OUVIDOR"
"1 Usina","OUVIDOR"
"3 Mina","OUVIDOR"
"Sul Pilha","BELO HORIZONTE"
"Piteiras","CONGONHAS"
"D-3","SANTA BÁRBARA"
