"uf","media_altura"
"RN",NULL
"SP","13.421282051282052"
"GO","13.381818181818183"
"AM","11.170000000000002"
"PA","13.392131147540983"
"PB","83.05"
"AP","11.333846153846155"
"TO","16.259999999999998"
"MT","12.44969696969697"
"PR","11"
"PI","3"
"BA","17.560188679245282"
"RJ","10.5"
"MA","9.25"
"AL",NULL
"RO","15.178799999999999"
"SE","30"
"MS","10.6775"
"RS","8.233333333333333"
"SC","32.25"
"MG","8.272472527472528"
