"idmina","nomemina"
207,"Dique BIII-7"
208,"Dique de Captação"
209,"Dique - Pilha 2"
210,"Dique - Pilha 4"
211,"Dique Conquistinha"
212,"Lagoa de Disposição n°04 - LD4"
213,"PDE02"
214,"Pilha 01 - P1C1"
215,"Pilha 01 P1C2"
216,"Pilha 01 - P1C3"
217,"Pilha 01 - P1C4"
218,"Pilha 01 - P1C5"
219,"Pilha 01 - P1C6"
220,"Pilha 01 - P1C7"
221,"Pilha 01 - P1C8"
222,"Pilha 01 - P1C9"
223,"Pilha 05 - P5C1"
224,"Pilha 05 - P5C2"
225,"Pilha 05 - P5C3"
226,"Pilha 05 - P5C4"
227,"Pilha 05 - P5C5"
228,"Pilha 05 - XC1"
229,"Pilha 05 - P5XC2"
230,"BARAÚNA - PBC1"
231,"BARAÚNA - PBC2"
232,"BARAÚNA - PBC3"
233,"BARRAGEM B1"
234,"Barragem de Clarificação de Água"
235,"Baia 4"
236,"Dique 5 (Barragem 4 - Bota fora)"
237,"Dique de Finos I"
238,"Dique de Finos II"
239,"Dique dos Búfalos"
240,"Dique do Puma 01"
241,"MD 05/2016"
242,"Dique de finos 01 - Depósito Tamanduá"
243,"Dique de finos 02 - Depósito Tamanduá"
244,"Dique de finos 03 - Depósito Tamanduá"
245,"BARRAGEM DE CONTENÇÃO DE ÁGUAS PLUVIAIS-DIQUE D-03"
246,"Gambá"
247,"Pocilga"
248,"PDE Lagoa Seca"
249,"Bacia 05 Alto da Serra"
250,"SANTO ANTÔNIO"
251,"Dique Portaria"
252,"Pond - PDE Sul"
253,"GAÚCHO"
254,"BARRAGEM GEOMINAS-001"
255,"BARRAGEM GEOMINAS-002"
256,"MBR II NORTE"
257,"Bacia 02-03 Alto da Serra Mn"
258,"RODUÍ II"
259,"Barragem T05"
260,"Barragem T06"
261,"Barragem B1"
262,"Barragem B3"
263,"SANTA LUZIA"
264,"P6C4"
265,"P6C01"
266,"P6C02"
267,"TQ-1"
268,"TQ-2"
269,"PILHA01-C10"
270,"PILHA01-C11"
271,"PILHA01-C12"
272,"PILHA01-C13"
273,"PILHA05-C06"
274,"PILHA07-C1"
275,"PILHA05-XC03"
276,"CA01"
277,"CA02"
278,"PILHA 06 - P6C3"
279,"Gerais II"
280,"MARANATA II"
281,"Dique dos Borges"
282,"CA03"
283,"CA04"
284,"QUEIMADA02"
285,"QUEIMADA03"
286,"MANÉ"
287,"PILHA 01 - P1C14"
288,"PILHA 05 - P5C07"
289,"PILHA 05 - P5C08"
290,"PILHA 05 - P5C09"
291,"PILHA 01 - PIC1A"
292,"PILHASUL - PCS1"
293,"PILHASUL - PCS2"
294,"PILHASUL - PCS3"
295,"11 - DES"
296,"12 - DES"
297,"Chapadinha 061 B"
298,"Barragem Oriente01"
299,"BR SANTA FELICIDADE 02"
300,"Bacia de Decantação S1"
301,"T G de Souza"
302,"Dorival"
303,"Bacia de Acumulação de Efluente Tratado"
304,"Rabo de Bica"
305,"Santa Helena"
306,"Barragem Candonga"
307,"BARRAGEM ÁGUA BRANCA"
308,"Dique 1"
309,"Dique IV"
310,"Dique V"
311,"Dique VII"
312,"Alvo Crente"
313,"BRASE01"
314,"Barragem I"
315,"Barragem Magrini"
316,"PILHA 01 - PIC16"
317,"PILHA 01 - PIC17"
318,"PILHA 06 - P6C5"
319,"Barragem T09"
320,"ARENAL"
321,"Dique B2"
322,"Fazenda Nova"
323,"SOL NASCENTE"
324,"Barragem Torio 01"
325,"MASSANGANA 01"
326,"BP-01"
327,"BP-02"
328,"Tadeu"
329,"SERRA"
330,"BRAVO II"
331,"JABURU 2"
332,"Barragem Fazenda Aguassu"
333,"BARRAGEM COOP 01"
334,"Barragem 1 - Decantação"
335,"Barragem 2 - Decantação"
336,"Barragem B1"
337,"Barragem  LVR"
338,"VALE GOLD"
339,"Pilha 07 - P7C2"
340,"Barragem TB"
341,"BR ÁGUA DE COCO"
342,"brejão"
343,"MULTI 1"
344,"Barragem JL"
345,"BRITO"
346,"PILHA 11 - P11C1"
347,"PILHA 11 - P11C2"
348,"PILHA11 - P11C3"
349,"PILHA11 - P11C4"
350,"Labourrie"
351,"Cajueiro"
352,"Barragem 1"
353,"Barragem 2"
354,"Barragem 3"
355,"Barragem 4"
356,"Barragem Jauru"
357,"LD 8 - Lagoa de disposição 8"
358,"TB04"
359,"DIEGO"
360,"Barragem - Valdenir"
361,"Barragem Novo Astro"
362,"TARUMÃ II"
363,"BARRAGEM DIQUE 2"
364,"Fortuna"
365,"Neta"
366,"Novo Astro I"
367,"Barragem Bacia de Decantação 02"
368,"Barragem Bacia de Decantação 03"
369,"JBS1"
370,"Quevedo 3"
371,"RX-01"
372,"Lagoa São Chico"
373,"Santa Bárbara"
374,"BR ÁGUIA DO SOL"
375,"STC03"
376,"LIPINISKY"
377,"Barragem II"
378,"MD-01"
379,"Dique do Dry Stacking"
380,"Barragem_Valdenir2"
381,"BACIA USINA DE BENEFICIAMENTO - IA"
382,"BACIA USINA DE BENEFICIAMENTO - IB"
383,"BACIA DE RECIRCULAÇÃO - RI"
384,"BACIA DE RECIRCULAÇÃO - RII"
385,"Dique 06"
386,"BARRAGEM DE MINERAÇÃO"
387,"PURO OURO"
388,"BARBA"
389,"VCS"
390,"MOCOTÓ"
391,"BR SANTA FELICIDADE 04"
392,"VALE DO OURO"
393,"Barragem MSJ"
394,"CATARINO"
395,"BARRAGEM 03"
396,"LD-01"
397,"Barragem de Rejeito - Mineração Ouro Fino"
398,"Mineração Livramento"
399,"P.R.A"
400,"BR03"
401,"Barragem Serrinha"
402,"Dique PDE 1"
403,"Barragem de Rejeito Capim Gold 2"
404,"Barragem da Grota"
405,"Sistema de Contenção de Sedimentos Pinta Bem"
406,"Dique de Contenção de Sedimentos Crista"
407,"Dique do Puma 04"
408,"Barragem de Mineração-CPM"
409,"NSL 01"
410,"Sump da Pilha 1"
411,"Barragem Cava 14"
412,"Martins 2"
413,"CAFUNDÓ"
414,"Dique do Puma 08"
415,"SP-24A"
416,"SP-24B"
417,"SP-24C"
418,"Mosquitos"
419,"TQ 63202 - Bacia de Finos Cachoeira"
420,"TQ 63201 - Pré Bacia Cachoeira"
421,"Dique de finos 01 - Depósito Área VIII"
422,"BACIA DE DECANTAÇÃO  DIQUE DE ENROCAMENTO PDE6 - FASE 1"
423,"Barragem Metago"
424,"Pera Montante"
425,"VILA NOVA"
426,"Elvo Captação"
427,"SR.PEDRINHO"
428,"BARRAGEM JF ROST"
429,"BARRAGEM DE REJEITO NORMA"
430,"SÃO RAFAEL"
431,"Chácara Santa Maria"
432,"BRAVO IV"
433,"P1-1"
434,"Beariz"
435,"Mosquitos 2"
436,"Barragem Rejeito Max 2"
437,"Dique 1 (Barragem 2 -Britagem)"
438,"B1"
439,"Isa"
440,"BARRAGEM DE REJEITOS PGDM"
441,"Barragem VERA"
442,"Barragem XAVIER"
443,"QB-01"
444,"Dique Pilha Brumado"
445,"BARRAGEM MANAH 1"
446,"Barragem Sul"
447,"TANQUE DE DECANTAÇÃO"
448,"Barragem PM1"
449,"Barragem de Sedimentos da Pedreira Itapeti - BA2"
450,"Barragem B1A"
451,"Barragem Quéias"
452,"Dique B3"
453,"Dique B4"
454,"TD1"
455,"TD4"
456,"Sedimentacao IV"
457,"km 190"
458,"Baixinhos"
459,"T11"
460,"Sentinela"
461,"Sedimentacao V"
462,"Tupa 1"
463,"Barragem GMX"
464,"Dique Santa Cruz"
465,"Barragem de Rejeito 01"
466,"VICTOR"
467,"LV-01"
468,"Barragem Sankara"
469,"Sítio Horii"
470,"Barragem da Mina II"
471,"Barragem B1"
472,"Barragem B2"
473,"Lagoa 1"
474,"Lagoa 2"
475,"6"
476,"Doutor"
477,"Volta Grande 3"
478,"BARRAGEM BOM JARDIM"
479,"Barragem de Rejeitos"
480,"Barragem de Mercês"
481,"Dique de Contenção de Sedimentos 02"
482,"Dique de Contenção de Sedimentos 04"
483,"Dique de Contenção de Sedimentos 05"
484,"EB-2"
485,"Dique de Contenção de Sedimentos 03"
486,"BARRAGEM DO BURACO"
487,"Unidade I"
488,"Unidade II"
489,"Unidade IB"
490,"Unidade IIB"
491,"0-1"
492,"103 (Cruz)"
493,"111 (Índio)"
494,"158 (A-1)"
495,"161 (A-2)"
496,"444 (A-3)"
497,"Pau D'Arco"
498,"81-1"
499,"Barragem MRDM"
500,"LE - Lagoa de Espessamento"
501,"LD7 - Lagoa de Disposição 7"
502,"LD6 - Lagoa de Disposição 6"
503,"LD3 - Lagoa de Disposição 03"
504,"LD2 - Lagoa de Disposição 02"
505,"LD1 - Lagoa de Disposição 01"
506,"Lagoa de Disposição n°05 - LD5"
